,x,
3972,9,"3972 = ""3972: ENDOVAS REPAIR/OCCL HEAD & NECK VESSELS (Begin 2002)"""
403,9,"0403 = ""0403: PERIPH NERVE DIV NEC"""
8339,9,"8339 = ""8339: EXC LES SOFT TISSUE NEC"""
8628,9,"8628 = ""8628: NONEXCIS DEBRIDEMENT WND (Begin 1988)"""
8741,9,"8741 = ""8741: C.A.T. SCAN OF THORAX"""
8954,9,"8954 = ""8954: ELECTROCARDIOGRAPH MONIT"""
9226,9,"9226 = ""9226: PARTICUL TELERADIOTH NEC"""
9396,9,"9396 = ""9396: OXYGEN ENRICHMENT NEC"""
2121,8,"2121 = ""2121: RHINOSCOPY"""
2722,8,"2722 = ""2722: UVULA & SOFT PALATE BX"""
2757,8,"2757 = ""2757: PEDICLE ATTACH TO MOUTH"""
2769,8,"2769 = ""2769: OTH PLASTIC REPAIR PALAT"""
5491,8,"5491 = ""5491: ABDOMINAL PARACENTESIS"""
7749,8,"7749 = ""7749: BONE BIOPSY NEC"""
8152,8,"8152 = ""8152: PARTIAL HIP REPLACEMENT (Begin 1989)"""
8609,8,"8609 = ""8609: SKIN & SUBQ INCISION NEC"""
8659,8,"8659 = ""8659: SKIN SUTURE NEC"""
8675,8,"8675 = ""8675: REVISION OF PEDICLE GRFT"""
9222,8,"9222 = ""9222: ORTHOVOLTAGE RADIATION"""
9394,8,"9394 = ""9394: NEBULIZER THERAPY"""
9923,8,"9923 = ""9923: INJECT STEROID"""
113,7,"0113 = ""0113: CLOSED BRAIN BIOPSY"""
1649,7,"1649 = ""1649: EYEBALL ENUCLEATION NEC"""
2724,7,"2724 = ""2724: MOUTH BIOPSY NOS"""
3601,7,"3601 = ""3601: PTCA-1 VESSEL W/O AGENT (Begin 1986"
3772,7,"3772 = ""3772: INT INSER LEAD ATRI-VENT (Begin 1987)"""
3894,7,"3894 = ""3894: VENOUS CUTDOWN"""
4040,7,"4040 = ""4040: RAD NECK DISSECTION NOS"""
407,7,"0407 = ""0407: PERIPH NERV EXCISION NEC"""
4523,7,"4523 = ""4523: COLONOSCOPY"""
5011,7,"5011 = ""5011: CLOSED LIVER BIOPSY"""
8877,7,"8877 = ""8877: DX ULTRASOUND-VASCULAR"""
8897,7,"8897 = ""8897: MAGNETIC RES IMAGE UNSP (Begin 1989)"""
9749,7,"9749 = ""9749: REMOV THOR THER DEV NEC"""
139,6,"0139 = ""0139: OTHER BRAIN INCISION"""
2199,6,"2199 = ""2199: NASAL OPERATION NEC"""
2319,6,"2319 = ""2319: SURG TOOTH EXTRACT NEC"""
234,6,"0234 = ""0234: VENTRICL SHUNT-ABDOMEN"""
2759,6,"2759 = ""2759: MOUTH REPAIR NEC"""
3143,6,"3143 = ""3143: (CLOSED) BIOPSY LARYNX (Begin 1988)"""
3323,6,"3323 = ""3323: OTHER BRONCHOSCOPY"""
5794,6,"5794 = ""5794: INSERT INDWELLING CATH"""
684,6,"684  = ""684 : TOTAL ABD HYSTERECTOMY"""
8627,6,"8627 = ""8627: DEBRIDEMENT OF NAIL (Begin 1986)"""
8965,6,"8965 = ""8965: ARTERIAL BLD GAS MEASURE"""
923,6,"0923 = ""0923: TOTAL DACRYOADENECTOMY"""
944,6,"0944 = ""0944: NASOLAC DUCT INTUBAT"""
123,5,"0123 = ""0123: REOPEN CRANIOTOMY SITE"""
131,5,"0131 = ""0131: INCISE CEREBRAL MENINGES"""
1623,5,"1623 = ""1623: EYEBALL & ORBIT BIOPSY"""
204,5,"0204 = ""0204: BONE GRAFT TO SKULL"""
2109,5,"2109 = ""2109: EPISTAXIS CONTROL NEC"""
2185,5,"2185 = ""2185: AUGMENTATION RHINOPLASTY"""
2271,5,"2271 = ""2271: NASAL SINUS FISTULA CLOS"""
2631,5,"2631 = ""2631: PARTIAL SIALOADENECTOMY"""
2756,5,"2756 = ""2756: SKIN GRAFT TO MOUTH NEC"""
293,5,"0293 = ""0293: IMPLANT BRAIN STIMULATOR"""
3326,5,"3326 = ""3326: CLOSED LUNG BIOPSY"""
4524,5,"4524 = ""4524: OTH ENDOSCOPY LG BOWEL (Begin 1988)"""
4562,5,"4562 = ""4562: PART SM BOWEL RESECT NEC"""
4639,5,"4639 = ""4639: ENTEROSTOMY NEC"""
7665,5,"7665 = ""7665: SEG OSTEOPLASTY MAXILLA"""
7666,5,"7666 = ""7666: TOT OSTEOPLASTY MAXILLA"""
7915,5,"7915 = ""7915: CLOSED RED-INT FIX FEMUR"""
8151,5,"8151 = ""8151: TOT HIP REPLACE (W/MET)(Begin 1989)"""
8702,5,"8702 = ""8702: BRAIN/SKULL CONTRST XRAY"""
8914,5,"8914 = ""8914: ELECTROENCEPHALOGRAM"""
109,4,"0109 = ""0109: CRANIAL PUNCTURE NEC"""
153,4,"0153 = ""0153: BRAIN LOBECTOMY"""
1602,4,"1602 = ""1602: ORBITOTOMY W IMPLANT"""
1639,4,"1639 = ""1639: EYEBALL EVISCERATION NEC"""
1652,4,"1652 = ""1652: ORBIT EXENT W BONE REMOV"""
2200,4,"2200 = ""2200: SINUS ASPIRAT/LAVAGE NOS"""
2309,4,"2309 = ""2309: TOOTH EXTRACTION NEC"""
304,4,"304  = ""304 : RADICAL LARYNGECTOMY"""
324,4,"324  = ""324 : LOBECTOMY OF LUNG (End 2007)"""
3812,4,"3812 = ""3812: HEAD & NECK ENDARTER NEC"""
3895,4,"3895 = ""3895: VEN CATH RENAL DIALYSIS (Begin 1989)"""
3998,4,"3998 = ""3998: HEMORRHAGE CONTROL NOS"""
4059,4,"4059 = ""4059: RAD NODE DISSECTION NEC"""
4104,4,"4104 = ""4104: AUTOL HEMATOPO STEM CELL TRANSPLNT (Begin 1994)"""
431,4,"431  = ""431 : TEMP GASTROSTOMY (Begin 1980"
442,4,"0442 = ""0442: CRAN NERV ROOT DECOM NEC"""
4525,4,"4525 = ""4525: CLOS LARGE BOWEL BIOPSY"""
4542,4,"4542 = ""4542: ENDO POLPECTOMY LRGE INT (Begin 1988)"""
5022,4,"5022 = ""5022: PARTIAL HEPATECTOMY"""
602,4,"0602 = ""0602: REOPEN THYROID FIELD WND"""
7646,4,"7646 = ""7646: FACIAL BONE RECONSTR NEC"""
7936,4,"7936 = ""7936: OP RED-INT FIX TIB/FIBUL"""
8382,4,"8382 = ""8382: MUSCLE OR FASCIA GRAFT"""
852,4,"0852 = ""0852: BLEPHARORRHAPHY"""
8671,4,"8671 = ""8671: CUT & PREP PEDICLE GRAFT"""
8876,4,"8876 = ""8876: DX ULTRASOUND-ABDOMEN"""
8952,4,"8952 = ""8952: ELECTROCARDIOGRAM"""
9228,4,"9228 = ""9228: ISOTOPE INJECT/INSTILL"""
9383,4,"9383 = ""9383: OCCUPATIONAL THERAPY"""
9462,4,"9462 = ""9462: ALCOHOL DETOXIFICATION (Begin 1989)"""
9607,4,"9607 = ""9607: INSERT GASTRIC TUBE NEC"""
9907,4,"9907 = ""9907: SERUM TRANSFUSION NEC"""
9909,4,"9909 = ""9909: TRANSFUSION NEC"""
9914,4,"9914 = ""9914: INJECT GAMMA GLOBULIN"""
114,3,"0114 = ""0114: OPEN BRAIN BIOPSY"""
1698,3,"1698 = ""1698: OPERATION ON ORBIT NEC"""
203,3,"0203 = ""0203: SKULL FLAP FORMATION"""
2032,3,"2032 = ""2032: MID & INNER EAR BIOPSY"""
2184,3,"2184 = ""2184: REVISION RHINOPLASTY"""
2187,3,"2187 = ""2187: RHINOPLASTY NEC"""
2253,3,"2253 = ""2253: MULTIPLE SINUS INCISION"""
2279,3,"2279 = ""2279: NASAL SINUS REPAIR NEC"""
242,3,"0242 = ""0242: REPLACE VENTRICLE SHUNT"""
2611,3,"2611 = ""2611: (CLOS)BX SALIV GLAND/DUCT(Begin 1988)"""
2630,3,"2630 = ""2630: SIALOADENECTOMY NOS"""
2632,3,"2632 = ""2632: COMPLETE SIALOADENECTOMY"""
3220,3,"3220 = ""3220: THORAC EXC LUNG LESION (Begin 2007)"""
3229,3,"3229 = ""3229: DESTROY LOC LUNG LES NEC"""
3322,3,"3322 = ""3322: FIBER-OPTIC BRONCHOSCOPY"""
3328,3,"3328 = ""3328: OPEN LUNG BIOPSY (Begin 1987)"""
3409,3,"3409 = ""3409: OTHER PLEURAL INCISION"""
346,3,"346  = ""346 : SCARIFICATION OF PLEURA"""
3723,3,"3723 = ""3723: RT/LEFT HEART CARD CATH"""
3808,3,"3808 = ""3808: EMBOLECTOMY LEG VESSEL"""
3821,3,"3821 = ""3821: BLOOD VESSEL BIOPSY"""
3844,3,"3844 = ""3844: RESECT ABDM AORTA W REPL (Begin 1986)"""
3881,3,"3881 = ""3881: OCCLUS INTRACRAN VES NEC"""
3950,3,"3950 = ""3950: ANGIOPLAST/ATHERECT (Begin 1995)"""
4029,3,"4029 = ""4029: SIMP EXC LYMPH STRUC NEC"""
4223,3,"4223 = ""4223: ESOPHAGOSCOPY NEC"""
436,3,"436  = ""436 : DISTAL GASTRECTOMY"""
4443,3,"4443 = ""4443: ENDOSC CONTROL GAST HEM (Begin 1989)"""
4573,3,"4573 = ""4573: RIGHT HEMICOLECTOMY"""
481,3,"0481 = ""0481: ANESTH INJEC PERIPH NERV"""
4824,3,"4824 = ""4824: CLOSED RECTAL BX"""
4863,3,"4863 = ""4863: ANTERIOR RECT RESECT NEC"""
5424,3,"5424 = ""5424: CLOSED INTRA-ABD MASS BX (Begin 1987)"""
6029,3,"6029 = ""6029: OTHER TURP (Begin 1995)"""
685,3,"685  = ""685 : VAGINAL HYSTERECTOMY (End 1996)"""
7609,3,"7609 = ""7609: FACIAL BONE INCISION NEC"""
7691,3,"7691 = ""7691: BONE GRAFT TO FACE BONE"""
8154,3,"8154 = ""8154: TOTAL KNEE REPLACEMENT (Begin 1989)"""
8601,3,"8601 = ""8601: ASPIRATION SKIN & SUBQ"""
8666,3,"8666 = ""8666: HOMOGRAFT TO SKIN"""
8670,3,"8670 = ""8670: PEDICLE GRAFT/FLAP NOS"""
8672,3,"8672 = ""8672: PEDICLE GRAFT ADVANCEMEN"""
8744,3,"8744 = ""8744: ROUTINE CHEST X-RAY"""
8875,3,"8875 = ""8875: DX ULTRASOUND-URINARY"""
8893,3,"8893 = ""8893: MRI SPINAL CANAL (Begin 1986)"""
9215,3,"9215 = ""9215: PULMONARY SCAN"""
9225,3,"9225 = ""9225: ELECTRON TELERADIOTHERAP"""
9301,3,"9301 = ""9301: FUNCTIONAL PT EVALUATION"""
9392,3,"9392 = ""9392: OTH MECH RESP ASSIST (Begin 1988"
9751,3,"9751 = ""9751: REMOV GASTROSTOMY TUBE"""
9955,3,"9955 = ""9955: VACCINATION NEC"""
9960,3,"9960 = ""9960: CARDIOPULM RESUSCITA NOS"""
102,2,"0102 = ""0102: VENTRICL SHUNT TUBE PUNC"""
115,2,"0115 = ""0115: SKULL BIOPSY"""
1164,2,"1164 = ""1164: PERFORAT KERATOPLAST NEC"""
1622,2,"1622 = ""1622: DIAGNOSTIC ASP OF ORBIT"""
17,2,"0017 = ""0017: INFUSION OF VASOPRESSOR (Begin 2004)"""
1812,2,"1812 = ""1812: EXTERNAL EAR BIOPSY"""
2049,2,"2049 = ""2049: MASTOIDECTOMY NEC"""
2105,2,"2105 = ""2105: MAX ART LIG FOR EPISTAX"""
2161,2,"2161 = ""2161: DIATHER/CRYO TURBINECTOM"""
2162,2,"2162 = ""2162: TURBINATE FRACTURE"""
2182,2,"2182 = ""2182: NASAL FISTULA CLOSURE"""
2202,2,"2202 = ""2202: SINUS LAVAGE THRU OSTIUM"""
2250,2,"2250 = ""2250: SINUSOTOMY NOS"""
2251,2,"2251 = ""2251: ETHMOIDOTOMY"""
2411,2,"2411 = ""2411: GUM BIOPSY"""
2412,2,"2412 = ""2412: ALVEOLUS BIOPSY"""
270,2,"270  = ""270 : DRAIN FACE & MOUTH FLOOR"""
2892,2,"2892 = ""2892: EXCIS TONSIL/ADENOID LES"""
3009,2,"3009 = ""3009: DESTRUCT LARYNX LES NEC"""
315,2,"315  = ""315 : LOCAL DESTRUC TRACH LES"""
3249,2,"3249 = ""3249: LOBECTOMY OF LUNG NEC (Begin 2007)"""
34,2,"0034 = ""0034: IMAGELESS COMP ASST SURG (Begin 2004)"""
3421,2,"3421 = ""3421: TRANSPLEURA THORACOSCOPY"""
3422,2,"3422 = ""3422: MEDIASTINOSCOPY"""
3605,2,"3605 = ""3605: PTCA-MULTIPLE VESSEL (Begin 1986"
3612,2,"3612 = ""3612: AORTOCOR BYPAS-2 COR ART"""
3712,2,"3712 = ""3712: PERICARDIOTOMY"""
3721,2,"3721 = ""3721: RT HEART CARDIAC CATH"""
3782,2,"3782 = ""3782: INT INSERT 1-CHAM; RATE (Begin 1987)"""
3783,2,"3783 = ""3783: INT INSERT DUAL-CHAM DEV (Begin 1987)"""
379,2,"0379 = ""0379: OTH SPINAL THECAL SHUNT"""
390,2,"0390 = ""0390: INSERT SPINAL CANAL CATH (Begin 1987)"""
392,2,"0392 = ""0392: SPINAL CANAL INJECT NEC"""
3928,2,"3928 = ""3928: EXTRACRAN-INTRACR BYPASS (Begin 1991)"""
3932,2,"3932 = ""3932: SUTURE OF VEIN"""
3971,2,"3971 = ""3971: ENDOVASCULAR IMPLANT IN ABDM AORTA (Begin 2000)"""
4101,2,"4101 = ""4101: AUT BONE MARROW TRNSPLNT (Begin 1988)"""
4292,2,"4292 = ""4292: ESOPHAGEAL DILATION"""
432,2,"432  = ""432 : PERM GASTROSTOMY (Begin 1980"
4532,2,"4532 = ""4532: DESTRUCT DUODEN LES NEC"""
4575,2,"4575 = ""4575: LEFT HEMICOLECTOMY (Begin 1988)"""
4576,2,"4576 = ""4576: SIGMOIDECTOMY"""
4632,2,"4632 = ""4632: PERCU ENDOSC JEJUNOSTOMY (Begin 1989)"""
4701,2,"4701 = ""4701: LAPAROSCOP APPENDECT (Begin 1996)"""
4881,2,"4881 = ""4881: PERIRECTAL INCISION"""
4901,2,"4901 = ""4901: INCIS PERIANAL ABSCESS"""
5110,2,"5110 = ""5110: ENDOSC RETRO CHOLANGIOPA (Begin 1989)"""
5122,2,"5122 = ""5122: (TOTAL) CHOLECYSTECTOMY(Begin 1991)"""
5123,2,"5123 = ""5123: LAPAROSCOPIC CHOLECYSTEC (Begin 1991)"""
5359,2,"5359 = ""5359: ABD WALL HERN REPAIR NEC"""
5411,2,"5411 = ""5411: EXPLORATORY LAPAROTOMY"""
5459,2,"5459 = ""5459: OTH LYSIS ABD ADHES (Begin 1996)"""
5732,2,"5732 = ""5732: CYSTOSCOPY NEC"""
586,2,"586  = ""586 : URETHRAL DILATION"""
734,2,"734  = ""734 : MEDICAL INDUCTION LABOR"""
7601,2,"7601 = ""7601: FACIAL BONE SEQUESTRECT"""
7642,2,"7642 = ""7642: TOTAL MANDIBULECTOMY NEC"""
765,2,"0765 = ""0765: TOT EXC PITUIT-TRANSPHEN"""
7672,2,"7672 = ""7672: FACE FX"""
7679,2,"7679 = ""7679: FACE FX"""
7692,2,"7692 = ""7692: SYN IMPLANT TO FACE BONE"""
7741,2,"7741 = ""7741: CHEST CAGE BONE BIOPSY"""
7742,2,"7742 = ""7742: HUMERUS BIOPSY"""
7789,2,"7789 = ""7789: PARTIAL OSTECTOMY NEC"""
7931,2,"7931 = ""7931: OPEN RED-INT FIX HUMERUS"""
7932,2,"7932 = ""7932: OP RED-INT FIX RAD/ULNA"""
8051,2,"8051 = ""8051: EXCISION INTERVERT DISC (Begin 1986)"""
809,2,"0809 = ""0809: OTHER EYELID INCISION"""
8102,2,"8102 = ""8102: OTHER CERVICAL FUS (ANT)(Begin 1989)"""
8108,2,"8108 = ""8108: REFUSION OF SPINE (Begin 1989)"""
811,2,"0811 = ""0811: EYELID BIOPSY"""
8166,2,"8166 = ""8166: KYPHOPLASTY (Begin 2004)"""
8191,2,"8191 = ""8191: ARTHROCENTESIS"""
824,2,"0824 = ""0824: EXC MAJ LES LID FUL-THIC"""
8343,2,"8343 = ""8343: MUSC/FASC EXCIS FOR GRFT"""
8345,2,"8345 = ""8345: OTHER MYECTOMY"""
8543,2,"8543 = ""8543: UNILAT EXTEN SIMP MASTEC"""
859,2,"0859 = ""0859: ADJUST LID POSITION NEC"""
8667,2,"8667 = ""8667: DERMAL REGENERATIVE GRAFT (Begin 1998)"""
8684,2,"8684 = ""8684: RELAXATION OF SCAR"""
8709,2,"8709 = ""8709: HEAD SOFT TISS X-RAY NEC"""
8716,2,"8716 = ""8716: FACIAL BONE X-RAY NEC"""
8761,2,"8761 = ""8761: BARIUM SWALLOW"""
881,2,"0881 = ""0881: LINEAR REP LID LACER"""
8843,2,"8843 = ""8843: CONTR PULMON ARTERIOGRAM"""
8871,2,"8871 = ""8871: DX ULTRASOUND-HEAD/NECK"""
8944,2,"8944 = ""8944: CARDIAC STRESS TEST NEC"""
9205,2,"9205 = ""9205: C-VASC SCAN/ISOTOP FUNCT"""
9357,2,"9357 = ""9357: DRESSING OF WOUND NEC"""
9375,2,"9375 = ""9375: OTHER SPEECH THERAPY"""
9381,2,"9381 = ""9381: RECREATIONAL THERAPY"""
9389,2,"9389 = ""9389: REHABILITATION NEC"""
953,2,"0953 = ""0953: LACRIMAL SAC INCISION"""
9608,2,"9608 = ""9608: INSERT INTESTINAL TUBE"""
9670,2,"9670 = ""9670: CONT MECH VENT-UNSPC DUR (Begin 1991)"""
9723,2,"9723 = ""9723: REPLACE TRACH TUBE"""
9732,2,"9732 = ""9732: REMOVE NASAL PACKING"""
9910,2,"9910 = ""9910: INJ INFUS THROMBOLYTIC AGENT (Begin 1998)"""
9919,2,"9919 = ""9919: INJECT ANTICOAGULANT"""
9927,2,"9927 = ""9927: IONTOPHORESIS"""
9962,2,"9962 = ""9962: HEART COUNTERSHOCK NEC"""
9984,2,"9984 = ""9984: ISOLATION"""
invl,2,#N/A
1139,1,"1139 = ""1139: PTERYGIUM EXCISION NEC"""
1159,1,"1159 = ""1159: CORNEAL REPAIR NEC"""
118,1,"0118 = ""0118: OTHER BRAIN DX PROCEDURE"""
121,1,"0121 = ""0121: CRANIAL SINUS I & D"""
14,1,"0014 = ""0014: INJECT/INFUS OF OXAZOLIDINONE ANTIBTCS (Begin 2002)"""
1473,1,"1473 = ""1473: ANTERIOR MECHAN VITRECT"""
1664,1,"1664 = ""1664: ENUC SOCKET REVIS NEC"""
1672,1,"1672 = ""1672: REMOVE ORBITAL IMPLANT"""
1831,1,"1831 = ""1831: RAD EXCIS EXT EAR LES"""
1839,1,"1839 = ""1839: EXCIS EXTERNAL EAR NEC"""
1919,1,"1919 = ""1919: STAPEDECTOMY NEC"""
2009,1,"2009 = ""2009: MYRINGOTOMY NEC"""
205,1,"0205 = ""0205: SKULL PLATE INSERTION"""
207,1,"0207 = ""0207: SKULL PLATE REMOVAL"""
2100,1,"2100 = ""2100: CONTROL OF EPISTAXIS NOS"""
2172,1,"2172 = ""2172: OPEN REDUCTION NASAL FX"""
2181,1,"2181 = ""2181: NASAL LACERATION SUTURE"""
239,1,"0239 = ""0239: OTHER VENTRICULAR SHUNT"""
