Diagnosis,Number,
7872,1291,"7872  = ""7872 : DYSPHAGIA (end 2007)"""
49390,1264,"49390 = ""49390: ASTHMA W/O STATUS ASTHM"""
99653,1255,"99653 = ""99653: LENS PROSTHESIS MALFUNC (Begin 1987)"""
2724,1250,"2724  = ""2724 : HYPERLIPIDEMIA NEC/NOS"""
78701,1250,"78701 = ""78701: NAUSEA WITH VOMITING (Begin 1994)"""
V153,1247,"V153  = ""V153 : HX OF IRRADIATION"""
E9331,1246,"E9331 = ""E9331: ADV EFF ANTINEOPLASTIC"""
1609,1243,"1609  = ""1609 : MAL NEO ACCESS SINUS NOS"""
36201,1228,"36201 = ""36201: DIABETIC RETINOPATHY NOS"""
3669,1218,"3669  = ""3669 : CATARACT NOS"""
311,1153,"0311  = ""0311 : CUTANEOUS MYCOBACTERIA"""
4140,1152,"4140  = ""4140 : CORONARY ATHEROSCLEROSIS (End 1994)"""
27651,1152,"27651 = ""27651: DEHYDRATION (Begin 2005)"""
1984,1095,"1984  = ""1984 : SEC MALIG NEO NERVE NEC"""
2720,1092,"2720  = ""2720 : PURE HYPERCHOLESTEROLEM"""
3659,1079,"3659  = ""3659 : GLAUCOMA NOS"""
412,1065,"0412  = ""0412 : PNEUMOCOCCUS INFECT NOS"""
3619,1061,"3619  = ""3619 : RETINAL DETACHMENT NOS"""
V4581,1037,"V4581 = ""V4581: AORTOCORONARY BYPASS"""
36620,995,"36620 = ""36620: TRAUMATIC CATARACT NOS"""
37630,965,"37630 = ""37630: EXOPHTHALMOS NOS"""
37925,949,"37925 = ""37925: VITREOUS MEMBRANES"""
9213,949,"9213  = ""9213 : CONTUSION OF EYEBALL"""
V580,929,"V580  = ""V580 : RADIOTHERAPY ENCOUNTER"""
42789,927,"42789 = ""42789: CARDIAC DYSRHYTHMIAS NEC"""
5070,926,"5070  = ""5070 : FOOD/VOMIT PNEUMONITIS-"""
2851,914,"2851  = ""2851 : AC POSTHEMORRHAG ANEMIA-"""
2848,912,"2848  = ""2848 : APLASTIC ANEMIAS NEC (end 2007)"""
1973,893,"1973  = ""1973 : SEC MALIG NEO RESP NEC"""
36610,890,"36610 = ""36610: SENILE CATARACT NOS"""
36254,887,"36254 = ""36254: MACULAR CYST OR HOLE"""
51881,844,"51881 = ""51881: RESPIRATORY FAILURE (Begin 1987)"""
7806,839,"7806  = ""7806 : PYREXIA UNKNOWN ORIGIN (end 2008)"""
37926,839,"37926 = ""37926: VITREOUS PROLAPSE"""
41400,838,"41400 = ""41400: CORONARY ATHERO NOS (Begin 1994)"""
36105,825,"36105 = ""36105: RECENT DETACHMENT- TOTAL"""
4111,810,"04111 = ""04111: STAPH AUREUS (Begin 1992)"""
V456,791,"V456  = ""V456 : POSTSURGICAL STATE- EYE (End 1997)"""
71590,784,"71590 = ""71590: OSTEOARTHROS NOS-UNSPEC"""
8028,779,"8028  = ""8028 : FX FACIAL BONE NEC-CLOSE"""
7847,777,"7847  = ""7847 : EPISTAXIS"""
36511,773,"36511 = ""36511: PRIM OPEN ANGLE GLAUCOMA"""
9985,769,"9985  = ""9985 : POSTOPERATIVE INFECTION (End 1996)"""
4732,757,"4732  = ""4732 : CHR ETHMOIDAL SINUSITIS"""
78039,752,"78039 = ""78039: OT CONVULSIONS (Begin 1997)"""
8710,744,"E8710 = ""E8710: POST-SURGICAL FORGN BODY"""
4739,732,"4739  = ""4739 : CHRONIC SINUSITIS NOS-"""
37621,727,"37621 = ""37621: THYROTOXIC EXOPHTHALMOS"""
5849,724,"5849  = ""5849 : ACUTE RENAL FAILURE NOS"""
4730,713,"4730  = ""4730 : CHR MAXILLARY SINUSITIS"""
4139,707,"4139  = ""4139 : ANGINA PECTORIS NEC/NOS"""
9983,701,"9983  = ""9983 : POSTOP WOUND DISRUPTION (End 2002)"""
56400,674,"56400 = ""56400: UNSPECIFIED CONSTIPATION (Begin 2001)"""
4011,669,"4011  = ""4011 : BENIGN HYPERTENSION"""
30000,649,"30000 = ""30000: ANXIETY STATE NOS"""
2752,644,"2752  = ""2752 : DIS MAGNESIUM METABOLISM"""
1605,612,"01605 = ""01605: TB OF KIDNEY-HISTO DX"""
389,609,"0389  = ""0389 : SEPTICEMIA NOS"""
2875,591,"2875  = ""2875 : THROMBOCYTOPENIA NOS"""
5180,588,"5180  = ""5180 : PULMONARY COLLAPSE"""
5939,580,"5939  = ""5939 : RENAL & URETERAL DIS NOS"""
40391,579,"40391 = ""40391: HYP RENAL NOS W REN FAIL (Begin 1989)"""
6820,575,"6820  = ""6820 : CELLULITIS OF FACE"""
36102,574,"36102 = ""36102: PART DETACH-MULT DEFECT"""
28522,569,"28522 = ""28522: ANEMIA IN NEOPLASTIC DISEASE (Begin 2000)"""
3682,556,"03682 = ""03682: MENINGOCOCC ARTHROPATHY"""
4738,554,"4738  = ""4738 : CHRONIC SINUSITIS NEC"""
99859,549,"99859 = ""99859: OTH POSTOP INFECTION (Begin 1996)"""
36019,544,"36019 = ""36019: ENDOPHTHALMITIS NEC"""
4589,542,"4589  = ""4589 : HYPOTENSION NOS"""
36101,535,"36101 = ""36101: PART DETACH-SINGL DEFEC"""
4612,534,"4612  = ""4612 : AC ETHMOIDAL SINUSITIS"""
4928,529,"4928  = ""4928 : EMPHYSEMA NEC"""
8020,526,"8020  = ""8020 : NASAL BONE FX-CLOSED"""
9981,518,"99981 = ""99981: EXTRAVSTN VESICANT CHEMO (Begin 2008)"""
9979,504,"9979  = ""9979 : SURG COMPL-BODY SYST NEC (End 1995)"""
7840,500,"7840  = ""7840 : HEADACHE"""
1473,489,"1473  = ""1473 : MAL NEO ANT NASOPHARYNX"""
37739,485,"37739 = ""37739: OPTIC NEURITIS NEC"""
E9179,485,"E9179 = ""E9179: OBJ W-W/O SUB FALL NEC"""
4240,485,"4240  = ""4240 : MITRAL VALVE DISORDER"""
9971,474,"9971  = ""9971 : SURG COMPL-HEART"""
7803,464,"7803  = ""7803 : CONVULSIONS (End 1997)"""
2767,463,"2767  = ""2767 : HYPERPOTASSEMIA"""
4610,462,"4610  = ""4610 : AC MAXILLARY SINUSITIS"""
7994,462,"7994  = ""7994 : CACHEXIA"""
30500,460,"30500 = ""30500: ALCOHOL ABUSE-UNSPEC"""
36960,450,"36960 = ""36960: BLINDNESS- ONE EYE"""
9988,448,#N/A
78791,446,"78791 = ""78791: DIARRHEA (Begin 1995)"""
36103,442,"36103 = ""36103: PART DETACH-GIANT TEAR"""
5119,431,"5119  = ""5119 : PLEURAL EFFUSION NOS"""
37120,431,"37120 = ""37120: CORNEAL EDEMA NOS"""
8716,423,#N/A
36281,422,"36281 = ""36281: RETINAL HEMORRHAGE"""
36441,422,"36441 = ""36441: HYPHEMA"""
V440,419,#N/A
99662,418,#N/A
4439,417,"4439  = ""4439 : PERIPH VASCULAR DIS NOS"""
99651,417,#N/A
V103,416,#N/A
78702,410,"78702 = ""78702: NAUSEA ALONE (Begin 1994)"""
E8499,409,#N/A
7802,408,"7802  = ""7802 : SYNCOPE AND COLLAPSE"""
7870,408,"7870  = ""7870 : NAUSEA AND VOMITING (End 1994)"""
25041,407,"25041 = ""25041: DIAB RENAL MANIF TYPE I"""
2536,405,"2536  = ""2536 : NEUROHYPOPHYSIS DIS NEC"""
36617,404,"36617 = ""36617: MATURE CATARACT"""
27800,399,"27800 = ""27800: OBESITY UNSPECIFIED (Begin 1995)"""
5185,399,"5185  = ""5185 : POST TRAUM PULM INSUFFIC"""
42,399,"0042  = ""0042 : SHIGELLA BOYDII"""
8715,395,#N/A
V4589,395,#N/A
585,393,"585   = ""585  : CHRONIC RENAL FAILURE (End 2005)"""
71690,389,"71690 = ""71690: ARTHROPATHY NOS-UNSPEC"""
37929,389,"37929 = ""37929: VITREOUS DISORDERS NEC"""
36250,387,"36250 = ""36250: MACULAR DEGENERATION NOS"""
8712,385,#N/A
V4582,385,#N/A
99669,384,#N/A
73300,382,"73300 = ""73300: OSTEOPOROSIS NOS"""
36320,381,"36320 = ""36320: CHORIORETINITIS NOS"""
E8490,381,#N/A
V090,381,#N/A
36361,376,"36361 = ""36361: CHOROIDAL HEMORRHAGE NOS"""
4781,373,"4781  = ""4781 : NASAL & SINUS DIS NEC"""
3572,373,"3572  = ""3572 : NEUROPATHY IN DIABETES"""
E8792,371,#N/A
8708,363,#N/A
25061,351,"25061 = ""25061: DIAB NEURO MANIF TYPE I"""
4119,351,"04119 = ""04119: OTHER STAPH (Begin 1992)"""
74330,350,"74330 = ""74330: CONGENITAL CATARACT NOS"""
5533,347,"5533  = ""5533 : DIAPHRAGMATIC HERNIA"""
2800,346,"2800  = ""2800 : CHR BLOOD LOSS ANEMIA"""
V1259,345,#N/A
58381,344,"58381 = ""58381: NEPHRITIS NOS IN OTH DIS"""
V1046,344,#N/A
4538,339,"4538  = ""4538 : VENOUS THROMBOSIS NEC (end 2009)"""
9982,338,#N/A
87342,335,#N/A
36616,334,"36616 = ""36616: SENILE NUCLEAR CATARACT"""
36474,334,"36474 = ""36474: PUPILLARY MEMBRANES"""
417,330,"0417  = ""0417 : PSEUDOMONAS INFECT NOS"""
V5861,328,#N/A
7907,326,"7907  = ""7907 : BACTEREMIA NOS"""
1700,325,"01700 = ""01700: TB SKIN/SUBCUTAN-UNSPEC"""
3899,325,"3899  = ""3899 : HEARING LOSS NOS"""
V4501,325,#N/A
78720,325,"78720 = ""78720: DYSPHAGIA NOS (Begin 2007)"""
4618,324,"4618  = ""4618 : OTHER ACUTE SINUSITIS"""
411,323,"0411  = ""0411 : STAPH INFECTION NOS (Begin 1980"
2762,322,"2762  = ""2762 : ACIDOSIS"""
99811,322,#N/A
V667,318,#N/A
1604,318,"01604 = ""01604: TB OF KIDNEY-CULT DX"""
4109,317,"04109 = ""04109: OTHER STREPTOCOCCUS (Begin 1992)"""
2809,314,"2809  = ""2809 : IRON DEFIC ANEMIA NOS"""
785,314,"0785  = ""0785 : CYTOMEGAL INCLUSION DIS"""
1901,312,"1901  = ""1901 : MALIGN NEOPL ORBIT"""
V1005,310,#N/A
7140,309,"7140  = ""7140 : RHEUMATOID ARTHRITIS"""
37924,305,"37924 = ""37924: VITREOUS OPACITIES NEC"""
E9600,303,#N/A
3004,297,"3004  = ""3004 : NEUROTIC DEPRESSION"""
37854,296,"37854 = ""37854: SIXTH NERVE PALSY"""
5640,292,"5640  = ""5640 : CONSTIPATION (End 2001)"""
1472,291,"1472  = ""1472 : MAL NEO LAT NASOPHARYNX"""
36283,290,"36283 = ""36283: RETINAL EDEMA"""
7837,290,"7837  = ""7837 : ADULT FAILURE TO THRIVE (Begin 2000)"""
8714,289,#N/A
99591,289,#N/A
78820,289,"78820 = ""78820: RETENTION OF URINE UNSPECIFED (Begin 1993)"""
36221,288,"36221 = ""36221: RETROLENTAL FIBROPLASIA"""
37749,287,"37749 = ""37749: OPTIC NERVE DISORDER NEC"""
4254,285,"4254  = ""4254 : PRIM CARDIOMYOPATHY NEC"""
36560,284,"36560 = ""36560: GLAUC W OCULAR DIS NOS"""
37932,284,"37932 = ""37932: SUBLUXATION OF LENS"""
36500,283,"36500 = ""36500: PREGLAUCOMA NOS"""
E9208,283,#N/A
37000,282,"37000 = ""37000: CORNEAL ULCER NOS"""
E8497,281,#N/A
V1251,280,#N/A
9973,279,#N/A
37100,277,"37100 = ""37100: CORNEAL OPACITY NOS"""
2769,276,"2769  = ""2769 : ELECTROLYT/FLUID DIS NEC"""
1991,271,"1991  = ""1991 : MALIGNANT NEOPLASM NOS"""
1982,270,"1982  = ""1982 : SECONDARY MALIG NEO SKIN"""
V4561,269,#N/A
2749,268,"2749  = ""2749 : GOUT NOS"""
9974,267,#N/A
52800,266,"52800 = ""52800: STOMATITIS/MUCOSITIS NOS (Begin 2006)"""
37430,265,"37430 = ""37430: PTOSIS OF EYELID NOS"""
37272,264,"37272 = ""37272: CONJUNCTIVAL HEMORRHAGE"""
36405,262,"36405 = ""36405: HYPOPYON"""
36442,259,"36442 = ""36442: RUBEOSIS IRIDIS"""
7906,257,"7906  = ""7906 : ABN BLOOD CHEMISTRY NEC"""
E888,257,#N/A
49121,256,"49121 = ""49121: OBS CHR BRNC W ACT EXA (Begin 1991)"""
462,254,"0462  = ""0462 : SUBAC SCLEROS PANENCEPH"""
470,252,"0470  = ""0470 : COXSACKIE VIRUS MENING"""
30390,252,"30390 = ""30390: ALCOH DEP NECNOS-UNSPEC"""
60000,251,"60000 = ""60000: HYPERTROPHY (BENIGN) OF PROSTATE WITHOUT URIN (Begin 2003)"""
3643,247,"03643 = ""03643: MENINGOCOCC MYOCARDITIS"""
25091,246,"25091 = ""25091: DIAB W COMPL NOS TYPE I"""
7070,246,"07070 = ""07070: HPT C W/O HEPAT COMA NOS (Begin 2004)"""
36589,245,"36589 = ""36589: GLAUCOMA NEC"""
845,245,"00845 = ""00845: CLOSTRIDIUM DIF (Begin 1992)"""
78079,242,"78079 = ""78079: OTH MALAISE/FATIGUE (Begin 1998)"""
25060,241,"25060 = ""25060: DIAB NEURO MANIF TYPE II"""
4580,241,"4580  = ""4580 : ORTHOSTATIC HYPOTENSION"""
V5869,241,#N/A
40290,238,"40290 = ""40290: HYPERTENSIVE HRT DIS NOS"""
25040,237,"25040 = ""25040: DIAB RENAL MANIF TYPE II"""
2948,237,"2948  = ""2948 : ORGANIC BRAIN SYND NEC"""
4731,236,"4731  = ""4731 : CHR FRONTAL SINUSITIS"""
V425,236,#N/A
3829,235,"3829  = ""3829 : OTITIS MEDIA NOS"""
4241,233,"4241  = ""4241 : AORTIC VALVE DISORDER"""
99679,233,#N/A
3383,232,"3383  = ""3383 : NEOPLASM RELATED PAIN (Begin 2006)"""
99889,232,#N/A
V433,230,#N/A
4110,230,"04110 = ""04110: STAPH UNSPEC (Begin 1992)"""
36563,230,"36563 = ""36563: GLAUCOMA W VASCULAR DIS"""
414,229,"0414  = ""0414 : E. COLI INFECT NOS"""
V1083,228,#N/A
5997,226,"5997  = ""5997 : HEMATURIA (end 2008)"""
2760,225,"2760  = ""2760 : HYPEROSMOLALITY"""
V5849,222,#N/A
49320,220,"49320 = ""49320: CH OB ASTH W/O STAT ASTH (Begin 1989)"""
36520,219,"36520 = ""36520: PRIM ANGL-CLOS GLAUC NOS"""
37273,218,"37273 = ""37273: CONJUNCTIVAL EDEMA"""
3488,218,"3488  = ""3488 : BRAIN CONDITIONS NEC (end 2009)"""
V4569,217,#N/A
1733,217,"01733 = ""01733: TB OF EYE-MICRO DX"""
7830,217,"7830  = ""7830 : ANOREXIA"""
28529,217,"28529 = ""28529: ANEMIA OF OTHER CHRONIC ILLNESS (Begin 2000)"""
53390,216,"53390 = ""53390: PEPTIC ULCER NOS"""
V1002,216,#N/A
78057,215,"78057 = ""78057: SLEEP APNEA NOS NEC (Begin 1992)"""
37034,215,"37034 = ""37034: EXPSURE KERATOCONJUNCTIV"""
40390,215,"40390 = ""40390: HYP REN NOS W/O REN FAIL (Begin 1989)"""
2874,214,"2874  = ""2874 : SECOND THROMBOCYTOPENIA"""
E9682,212,#N/A
28800,211,"28800 = ""28800: NEUTROPENIA NOS (Begin 2006)"""
7863,210,"7863  = ""7863 : HEMOPTYSIS"""
36289,209,"36289 = ""36289: RETINAL DISORDERS NEC"""
36370,209,"36370 = ""36370: CHOROIDAL DETACHMENT NOS"""
36471,209,"36471 = ""36471: POSTERIOR SYNECHIAE"""
V140,208,#N/A
37006,207,"37006 = ""37006: PERFORATED CORNEAL ULCER"""
36372,207,"36372 = ""36372: HEMORR CHOROID DETACHMNT"""
99799,205,#N/A
5589,205,"5589  = ""5589 : NONINF GASTROENTERIT NEC"""
3310,205,"3310  = ""3310 : ALZHEIMERS DISEASE"""
25002,205,"25002 = ""25002: DIABETES MELL TYPE II UNCONT (Begin 1993)"""
36510,204,"36510 = ""36510: OPEN-ANGLE GLAUCOMA NOS"""
E914,204,#N/A
34590,203,"34590 = ""34590: EPILEP NOS W/O INTR EPIL (Begin 1989)"""
7850,202,"7850  = ""7850 : TACHYCARDIA NOS"""
53019,201,"53019 = ""53019: OTH ESOPHAGITIS (Begin 1993)"""
5289,201,"5289  = ""5289 : ORAL SOFT TISSUE DIS NEC"""
52801,201,"52801 = ""52801: MUCOSITS D/T ANTINEO RX (Begin 2006)"""
V1581,198,#N/A
78609,198,"78609 = ""78609: RESPIRATORY ABNORM NEC"""
4279,195,"4279  = ""4279 : CARDIAC DYSRHYTHMIA NOS"""
36600,195,"36600 = ""36600: NONSENILE CATARACT NOS"""
99709,194,#N/A
5859,194,"5859  = ""5859 : CHRONIC KIDNEY DIS NOS (Begin 2005)"""
36263,193,"36263 = ""36263: LATTICE DEGENERATION"""
2252,193,"2252  = ""2252 : BEN NEO CEREBR MENINGES"""
600,192,"0600  = ""0600 : SYLVATIC YELLOW FEVER"""
2888,191,"2888  = ""2888 : WBC DISEASE NEC"""
3320,191,"3320  = ""3320 : PARALYSIS AGITANS"""
42611,191,"42611 = ""42611: ATRIOVENT BLOCK-1ST DEGR"""
36650,191,"36650 = ""36650: AFTER-CATARACT NOS"""
438,190,"438   = ""438  : LATE EFF CEREBROVASC DIS (End 1997)"""
37313,190,"37313 = ""37313: ABSCESS OF EYELID"""
53550,190,"53550 = ""53550: GSTR/DDNTS NOS W/O HMRHG (Begin 1991)"""
7856,190,"7856  = ""7856 : ENLARGEMENT LYMPH NODES"""
37140,189,"37140 = ""37140: CORNEAL DEGENERATION NOS"""
51889,188,"51889 = ""51889: OTHER LUNG DISEASE NEC (Begin 1987)"""
27542,188,"27542 = ""27542: HYPERCALCEMIA (Begin 1997)"""
78321,188,"78321 = ""78321: LOSS OF WEIGHT (Begin 2000)"""
3811,188,"03811 = ""03811: STAPH AUREUS SEPTICEMIA (Begin 1997)"""
4264,187,"4264  = ""4264 : RT BUNDLE BRANCH BLOCK"""
5601,186,"05601 = ""05601: RUBELLA ENCEPHALITIS"""
37441,186,"37441 = ""37441: LID RETRACTION OR LAG"""
4611,185,"04611 = ""04611: VARNT CREUTZFELDT-JAKOB (Begin 2008)"""
4149,184,"4149  = ""4149 : CHR ISCHEMIC HRT DIS NOS"""
36216,184,"36216 = ""36216: RETINAL NEOVASCULAR NOS"""
99592,183,#N/A
42769,183,"42769 = ""42769: PREMATURE BEATS NEC"""
99659,183,#N/A
37230,182,"37230 = ""37230: CONJUNCTIVITIS NOS"""
9212,182,#N/A
99882,181,#N/A
36130,180,"36130 = ""36130: RETINAL DEFECT NOS"""
5789,180,"5789  = ""5789 : GASTROINTEST HEMORR NOS"""
381,180,"0381  = ""0381 : STAPHYLOCOCC SEPTICEMIA (End 1997)"""
30391,179,"30391 = ""30391: ALCOH DEP NECNOS-CONTIN"""
80101,178,"80101 = ""80101: CL SKUL BASE FX W/O COMA"""
8700,178,#N/A
2780,177,"2780  = ""2780 : OBESITY (End 1995)"""
1470,177,"1470  = ""1470 : MAL NEO SUPER NASOPHARYN"""
3668,176,"3668  = ""3668 : CATARACT NEC"""
37689,174,"37689 = ""37689: ORBITAL DISORDERS NEC"""
261,174,"0261  = ""0261 : STREPTOBACILLARY FEVER"""
36472,174,"36472 = ""36472: ANTERIOR SYNECHIAE"""
3510,173,"3510  = ""3510 : BELL-s PALSY"""
8704,173,#N/A
E8781,171,#N/A
2989,169,"2989  = ""2989 : -PSYCHOSIS NOS-"""
4292,168,"4292  = ""4292 : ASCVD"""
4185,168,"04185 = ""04185: OTHER GRAM NEG ORGS (Begin 1992)"""
2930,168,"2930  = ""2930 : ACUTE DELIRIUM"""
51882,167,"51882 = ""51882: OTHER PULMONARY INSUFF (Begin 1987)"""
78703,166,"78703 = ""78703: VOMITING ALONE (Begin 1994)"""
78650,165,"78650 = ""78650: CHEST PAIN NOS"""
36900,165,"36900 = ""36900: BOTH EYES BLIND-WHO DEF"""
37921,164,"37921 = ""37921: VITREOUS DEGENERATION"""
2766,163,"2766  = ""2766 : FLUID OVERLOAD"""
380,163,"0380  = ""0380 : STREPTOCOCCAL SEPTICEMIA"""
37652,162,"37652 = ""37652: ENOPHTHALMOS D/T TRAUMA"""
9975,161,#N/A
78009,160,"78009 = ""78009: STUPOR (Begin 1992)"""
5362,159,"5362  = ""5362 : PERSISTENT VOMITING"""
V5789,158,#N/A
53641,158,"53641 = ""53641: GASTROST INFECTN (Begin 1998)"""
2841,158,"2841  = ""2841 : PANCYTOPENIA (Begin 2006)"""
8701,158,#N/A
V451,157,#N/A
2754,157,"2754  = ""2754 : DIS CALCIUM METABOLISM (End 1997)"""
4275,156,"4275  = ""4275 : CARDIAC ARREST"""
410,154,"0410  = ""0410 : STREPTOCOCCUS INFECT NOS (Begin 1980"
3240,154,"3240  = ""3240 : INTRACRANIAL ABSCESS"""
37991,153,"37991 = ""37991: PAIN IN OR AROUND EYE"""
99812,153,#N/A
6822,152,"6822  = ""6822 : CELLULITIS OF TRUNK"""
1972,151,"1972  = ""1972 : SECOND MALIG NEO PLEURA"""
24290,150,"24290 = ""24290: THYROTOX NOS NO CRISIS"""
1452,148,"1452  = ""1452 : MALIG NEO HARD PALATE"""
42732,147,"42732 = ""42732: ATRIAL FLUTTER"""
4189,147,"04189 = ""04189: OTHER SPEC BACTERIA (Begin 1992)"""
2753,146,"2753  = ""2753 : DIS PHOSPHORUS METABOL"""
4821,145,"4821  = ""4821 : PSEUDOMONAL PNEUMONIA"""
2638,145,"2638  = ""2638 : PROTEIN-CAL MALNUTR NEC"""
V5867,145,#N/A
36473,144,"36473 = ""36473: GONIOSYNECHIAE"""
990,143,"0990  = ""0990 : CHANCROID"""
1950,141,"1950  = ""1950 : MAL NEO HEAD/FACE/NECK"""
27801,140,"27801 = ""27801: MORBID OBESITY (Begin 1995)"""
53010,140,"53010 = ""53010: ESOPHAGITIS UNSPEC (Begin 1993)"""
56210,140,"56210 = ""56210: DVRTCLO COLON (W/O HMRHG) (Begin 1980)"""
7882,140,"07882 = ""07882: EPIDEMIC VOMITING SYND"""
8719,139,#N/A
27541,139,"27541 = ""27541: HYPOCALCEMIA (Begin 1997)"""
28860,138,"28860 = ""28860: LEUKOCYTOSIS NOS (Begin 2006)"""
37157,138,"37157 = ""37157: ENDOTHEL CORNEA DYSTRPHY"""
7823,137,"7823  = ""7823 : EDEMA"""
4659,137,"4659  = ""4659 : ACUTE URI NOS"""
41519,137,"41519 = ""41519: OTHER PULMON EMBOL INFARCT (Begin 1995)"""
1961,137,"1961  = ""1961 : MAL NEO LYMPH-INTRATHOR"""
V1011,136,#N/A
920,136,"0920  = ""0920 : EARLY SYPH LATENT RELAPS"""
32723,135,"32723 = ""32723: OBSTRUCTIVE SLEEP APNEA (Begin 2005)"""
36423,135,"36423 = ""36423: LENS-INDUCED IRIDOCYCLIT"""
V4364,135,#N/A
4271,134,"4271  = ""4271 : PAROX VENTRIC TACHYCARD"""
43491,134,"43491 = ""43491: CEREBR ART OCCLUS NOS W/ INFARCT (Begin 1993)"""
36522,134,"36522 = ""36522: ACUTE ANGL-CLOS GLAUCOMA"""
3569,134,"3569  = ""3569 : IDIO PERIPH NEURPTHY NOS"""
34290,134,"34290 = ""34290: UNSPEC HEMIPLEGIA- UNSPEC SIDE (Begin 1994)"""
V1084,134,#N/A
36504,133,"36504 = ""36504: OCULAR HYPERTENSION"""
28803,132,"28803 = ""28803: DRUG INDUCED NEUTROPENIA (Begin 2006)"""
V450,131,#N/A
30501,131,"30501 = ""30501: ALCOHOL ABUSE-CONTINUOUS"""
4718,131,"4718  = ""4718 : NASAL SINUS POLYP NEC"""
185,131,"185   = ""185  : MALIGN NEOPL PROSTATE"""
6930,131,"6930  = ""6930 : DRUG DERMATITIS NOS"""
E885,131,#N/A
