,x,
5990,37,"5990  = ""5990 : URIN TRACT INFECTION NOS"""
51881,36,"51881 = ""51881: RESPIRATORY FAILURE (Begin 1987)"""
1452,35,"1452  = ""1452 : MALIG NEO HARD PALATE"""
37601,35,"37601 = ""37601: ORBITAL CELLULITIS"""
4280,35,"4280  = ""4280 : CONGESTIVE HEART FAILURE"""
1977,34,"1977  = ""1977 : SECOND MALIG NEO LIVER"""
28800,33,"28800 = ""28800: NEUTROPENIA NOS (Begin 2006)"""
7802,30,"7802  = ""7802 : SYNCOPE AND COLLAPSE"""
4538,29,"4538  = ""4538 : VENOUS THROMBOSIS NEC (end 2009)"""
99811,28,"99811 = ""99811: HEMORR AS PROC CX (Begin 1996)"""
41519,27,"41519 = ""41519: OTHER PULMON EMBOL INFARCT (Begin 1995)"""
49121,27,"49121 = ""49121: OBS CHR BRNC W ACT EXA (Begin 1991)"""
78039,26,"78039 = ""78039: OT CONVULSIONS (Begin 1997)"""
1911,24,"1911  = ""1911 : MALIG NEO FRONTAL LOBE"""
28803,24,"28803 = ""28803: DRUG INDUCED NEUTROPENIA (Begin 2006)"""
V5812,24,"V5812 = ""V5812: IMMUNOTHERAPY ENCOUNTER (Begin 2005)"""
4359,23,"4359  = ""4359 : TRANS CEREB ISCHEMIA NOS"""
78701,23,"78701 = ""78701: NAUSEA WITH VOMITING (Begin 1994)"""
43491,22,"43491 = ""43491: CEREBR ART OCCLUS NOS W/ INFARCT (Begin 1993)"""
2536,21,"2536  = ""2536 : NEUROHYPOPHYSIS DIS NEC"""
1972,19,"1972  = ""1972 : SECOND MALIG NEO PLEURA"""
27542,19,"27542 = ""27542: HYPERCALCEMIA (Begin 1997)"""
381,19,"0381  = ""0381 : STAPHYLOCOCC SEPTICEMIA (End 1997)"""
41401,19,"41401 = ""41401: CORONARY ATHERO NATIVE VESSEL (Begin 1994)"""
7803,19,"7803  = ""7803 : CONVULSIONS (End 1997)"""
1950,18,"1950  = ""1950 : MAL NEO HEAD/FACE/NECK"""
2639,18,"2639  = ""2639 : PROTEIN-CAL MALNUTR NOS"""
1430,17,"1430  = ""1430 : MALIG NEO UPPER GUM"""
41071,17,"41071 = ""41071: SUBENDO INFARCT- INITIAL (Begin 1989)"""
42731,17,"42731 = ""42731: ATRIAL FIBRILLATION"""
1921,16,"1921  = ""1921 : MAL NEO CEREBRAL MENING"""
845,16,"00845 = ""00845: CLOSTRIDIUM DIF (Begin 1992)"""
1710,15,"01710 = ""01710: ERYTHEMA NODOS TB-UNSPEC"""
3383,15,"3383  = ""3383 : NEOPLASM RELATED PAIN (Begin 2006)"""
380,15,"0380  = ""0380 : STREPTOCOCCAL SEPTICEMIA"""
1450,14,"1450  = ""1450 : MAL NEO CHEEK MUCOSA"""
1455,14,"1455  = ""1455 : MALIGNANT NEO PALATE NOS"""
1919,14,"1919  = ""1919 : MALIG NEO BRAIN NOS"""
1973,14,"1973  = ""1973 : SEC MALIG NEO RESP NEC"""
2768,14,"2768  = ""2768 : HYPOPOTASSEMIA"""
4589,14,"4589  = ""4589 : HYPOTENSION NOS"""
5601,14,"05601 = ""05601: RUBELLA ENCEPHALITIS"""
5789,14,"5789  = ""5789 : GASTROINTEST HEMORR NOS"""
7870,14,"7870  = ""7870 : NAUSEA AND VOMITING (End 1994)"""
1478,13,"1478  = ""1478 : MAL NEO NASOPHARYNX NEC"""
3240,13,"3240  = ""3240 : INTRACRANIAL ABSCESS"""
3811,13,"03811 = ""03811: STAPH AUREUS SEPTICEMIA (Begin 1997)"""
4824,13,"4824  = ""4824 : STAPHYLOCOCCAL PNEUMONIA (End 1998)"""
9981,13,#N/A
6826,12,"6826  = ""6826 : CELLULITIS OF LEG"""
7380,12,"7380  = ""7380 : ACQ NOSE DEFORMITY"""
7872,12,"7872  = ""7872 : DYSPHAGIA (end 2007)"""
99709,12,#N/A
2859,11,"2859  = ""2859 : ANEMIA NOS-"""
436,11,"436   = ""436  : CVA"""
4739,11,"4739  = ""4739 : CHRONIC SINUSITIS NOS-"""
56039,11,"56039 = ""56039: IMPACTION INTESTINE NEC"""
9985,11,#N/A
V571 ,11,#N/A
4730,10,"4730  = ""4730 : CHR MAXILLARY SINUSITIS"""
5119,10,"5119  = ""5119 : PLEURAL EFFUSION NOS"""
V51  ,10,#N/A
1479,9,"1479  = ""1479 : MAL NEO NASOPHARYNX NOS"""
2800,9,"2800  = ""2800 : CHR BLOOD LOSS ANEMIA"""
34981,9,"34981 = ""34981: CEREBROSPINAL RHINORRHEA"""
3842,9,"03842 = ""03842: E COLI SEPTICEMIA"""
42,9,"0042  = ""0042 : SHIGELLA BOYDII"""
4349,9,"4349  = ""4349 : CEREBR ARTERY OCCLUS NOS (End 1993)"""
4580,9,"4580  = ""4580 : ORTHOSTATIC HYPOTENSION"""
53641,9,"53641 = ""53641: GASTROST INFECTN (Begin 1998)"""
5609,9,"05609 = ""05609: RUBELLA NERVE COMPL NEC"""
73028,9,"73028 = ""73028: OSTEOMYELIT NOS-OTH SITE"""
78650,9,"78650 = ""78650: CHEST PAIN NOS"""
82009,9,#N/A
82021,9,#N/A
V5849,9,#N/A
2875,8,"2875  = ""2875 : THROMBOCYTOPENIA NOS"""
2930,8,"2930  = ""2930 : ACUTE DELIRIUM"""
3314,8,"3314  = ""3314 : OBSTRUCTIV HYDROCEPHALUS"""
4140,8,"4140  = ""4140 : CORONARY ATHEROSCLEROSIS (End 1994)"""
45341,8,"45341 = ""45341: DVT/EMB PROX LOWER EXT (Begin 2004)"""
4781,8,"4781  = ""4781 : NASAL & SINUS DIS NEC"""
5272,8,"5272  = ""5272 : SIALOADENITIS"""
52809,8,"52809 = ""52809: STOMATITS & MUCOSITS NEC (Begin 2006)"""
53649,8,"53649 = ""53649: GASTROST COMPL OTH (Begin 1998)"""
73313,8,"73313 = ""73313: PATH FX-VERTEBRAE (Begin 1993)"""
7907,8,"7907  = ""7907 : BACTEREMIA NOS"""
99652,8,#N/A
99669,8,#N/A
99674,8,#N/A
1120,7,"01120 = ""01120: TB LUNG W CAVITY-UNSPEC"""
1400,7,"01400 = ""01400: TB PERITONITIS-UNSPEC"""
1982,7,"1982  = ""1982 : SECONDARY MALIG NEO SKIN"""
28809,7,"28809 = ""28809: NEUTROPENIA NEC (Begin 2006)"""
388,7,"0388  = ""0388 : SEPTICEMIA NEC"""
4111,7,"04111 = ""04111: STAPH AUREUS (Begin 1992)"""
419,7,"0419  = ""0419 : BACTERIAL INFECTION NOS"""
4610,7,"4610  = ""4610 : AC MAXILLARY SINUSITIS"""
4821,7,"4821  = ""4821 : PSEUDOMONAL PNEUMONIA"""
48241,7,"48241 = ""48241: STAPH AUREUS PNEUMON (Begin 1998)"""
52801,7,"52801 = ""52801: MUCOSITS D/T ANTINEO RX (Begin 2006)"""
5589,7,"5589  = ""5589 : NONINF GASTROENTERIT NEC"""
56211,7,"56211 = ""56211: DVRTCLI COLON (W/O HMRHG) (Begin 1980)"""
5770,7,"5770  = ""5770 : ACUTE PANCREATITIS"""
7804,7,"7804  = ""7804 : DIZZINESS AND GIDDINESS"""
7840,7,"7840  = ""7840 : HEADACHE"""
8082,7,#N/A
1473,6,"1473  = ""1473 : MAL NEO ANT NASOPHARYNX"""
1976,6,"1976  = ""1976 : SEC MAL NEO PERITONEUM"""
25080,6,"25080 = ""25080: DIAB W MANIF NEC TYPE II"""
28522,6,"28522 = ""28522: ANEMIA IN NEOPLASTIC DISEASE (Begin 2000)"""
29281,6,"29281 = ""29281: DRUG-INDUCED DELIRIUM"""
3488,6,"3488  = ""3488 : BRAIN CONDITIONS NEC (end 2009)"""
3819,6,"03819 = ""03819: OT STAPH SEPTICEMIA (Begin 1997)"""
3843,6,"03843 = ""03843: PSEUDOMONAS SEPTICEMIA"""
3849,6,"03849 = ""03849: GRAM-NEG SEPTICEMIA NEC"""
4019,6,"4019  = ""4019 : HYPERTENSION NOS"""
4619,6,"04619 = ""04619: CREUTZFLDT-JAKOB NEC/NOS (Begin 2008)"""
4660,6,"4660  = ""4660 : ACUTE BRONCHITIS"""
48283,6,"48283 = ""48283: OTH GRAM NEG PNEUMONIA (Begin 1992)"""
78009,6,"78009 = ""78009: STUPOR (Begin 1992)"""
7837,6,"7837  = ""7837 : ADULT FAILURE TO THRIVE (Begin 2000)"""
78791,6,"78791 = ""78791: DIARRHEA (Begin 1995)"""
9961,6,#N/A
9986,6,#N/A
1453,5,"1453  = ""1453 : MALIG NEO SOFT PALATE"""
1458,5,"1458  = ""1458 : MALIG NEOPLASM MOUTH NEC"""
1731,5,"01731 = ""01731: TB OF EYE-NO EXAM"""
1808,5,"1808  = ""1808 : MALIG NEO CERVIX NEC"""
1918,5,"1918  = ""1918 : MALIG NEO BRAIN NEC"""
2809,5,"2809  = ""2809 : IRON DEFIC ANEMIA NOS"""
28489,5,"28489 = ""28489: APLASTIC ANEMIAS NEC (Begin 2007)"""
2851,5,"2851  = ""2851 : AC POSTHEMORRHAG ANEMIA-"""
3202,5,"3202  = ""3202 : STREPTOCOCCAL MENINGITIS"""
34590,5,"34590 = ""34590: EPILEP NOS W/O INTR EPIL (Begin 1989)"""
4270,5,"4270  = ""4270 : PAROX ATRIAL TACHYCARDIA"""
42732,5,"42732 = ""42732: ATRIAL FLUTTER"""
431,5,"0431  = ""0431 : HIV CAUS SP CNS DISEASE (Begin 1986"
4321,5,"4321  = ""4321 : SUBDURAL HEMORRHAGE"""
45119,5,"45119 = ""45119: DEEP PHLEBITIS-LEG NEC"""
4590,5,"04590 = ""04590: AC POLIO NOS-TYPE NOS"""
4618,5,"4618  = ""4618 : OTHER ACUTE SINUSITIS"""
481,5,"481   = ""481  : PNEUMOCOCCAL PNEUMONIA"""
4822,5,"4822  = ""4822 : H.INFLUENZAE PNEUMONIA"""
5118,5,"5118  = ""5118 : PLEURAL EFFUS NEC NOT TB (end 2008)"""
5130,5,"5130  = ""5130 : ABSCESS OF LUNG"""
5362,5,"5362  = ""5362 : PERSISTENT VOMITING"""
53642,5,"53642 = ""53642: GASTROST MECH COMPL (Begin 1998)"""
539,5,"0539  = ""0539 : HERPES ZOSTER NOS"""
5640,5,"5640  = ""5640 : CONSTIPATION (End 2001)"""
6827,5,"6827  = ""6827 : CELLULITIS OF FOOT"""
7070,5,"07070 = ""07070: HPT C W/O HEPAT COMA NOS (Begin 2004)"""
73314,5,"73314 = ""73314: PATH FX-FEMUR NECK (Begin 1993)"""
8208,5,#N/A
990,5,"0990  = ""0990 : CHANCROID"""
9971,5,#N/A
9974,5,#N/A
9988,5,#N/A
99931,5,#N/A
V551 ,5,#N/A
1459,4,"1459  = ""1459 : MALIG NEOPLASM MOUTH NOS"""
1611,4,"01611 = ""01611: TB OF BLADDER-NO EXAM"""
1629,4,"1629  = ""1629 : MAL NEO BRONCH/LUNG NOS"""
1734,4,"01734 = ""01734: TB OF EYE-CULT DX"""
2120,4,"2120  = ""2120 : BEN NEO NASAL CAV/SINUS"""
2754,4,"2754  = ""2754 : DIS CALCIUM METABOLISM (End 1997)"""
28804,4,"28804 = ""28804: NEUTROPENIA D/T INFECTN (Begin 2006)"""
29630,4,"29630 = ""29630: RECURR DEPR PSYCHOS-UNSP"""
2989,4,"2989  = ""2989 : -PSYCHOSIS NOS-"""
3209,4,"3209  = ""3209 : BACTERIAL MENINGITIS NOS"""
3229,4,"3229  = ""3229 : MENINGITIS NOS"""
3451,4,"3451  = ""3451 : GEN CONVULSIVE EPILEPSY (Begin 1980"
34510,4,"34510 = ""34510: GEN CNV EPIL W/O INTR EP (Begin 1989)"""
36000,4,"36000 = ""36000: PURULENT ENDOPHTHALM NOS"""
37006,4,"37006 = ""37006: PERFORATED CORNEAL ULCER"""
37313,4,"37313 = ""37313: ABSCESS OF EYELID"""
40291,4,"40291 = ""40291: HYPERTEN HEART DIS W CHF"""
42789,4,"42789 = ""42789: CARDIAC DYSRHYTHMIAS NEC"""
4414,4,"4414  = ""4414 : ABDOM AORTIC ANEURYSM"""
44422,4,"44422 = ""44422: LOWER EXTREMITY EMBOLISM"""
4612,4,"4612  = ""4612 : AC ETHMOIDAL SINUSITIS"""
51884,4,"51884 = ""51884: AC AND CHR RESP FAILURE (Begin 1998)"""
53240,4,"53240 = ""53240: CHR DUODEN ULCER W HEM"""
56081,4,"56081 = ""56081: INTESTINAL ADHES W OBSTR"""
56400,4,"56400 = ""56400: UNSPECIFIED CONSTIPATION (Begin 2001)"""
64893,4,"64893 = ""64893: OTH CURR COND-ANTEPARTUM"""
6822,4,"6822  = ""6822 : CELLULITIS OF TRUNK"""
78659,4,"78659 = ""78659: CHEST PAIN NEC"""
9964,4,#N/A
99667,4,#N/A
99799,4,#N/A
99832,4,#N/A
V5889,4,#N/A
11284,3,"11284 = ""11284: CANDIDAL ESOPHAGITIS (Begin 1992)"""
1410,3,"1410  = ""1410 : MAL NEO TONGUE BASE"""
1471,3,"1471  = ""1471 : MAL NEO POST NASOPHARYNX"""
1490,3,"1490  = ""1490 : MAL NEO PHARYNX NOS"""
1618,3,"1618  = ""1618 : MALIGNANT NEO LARYNX NEC"""
1620,3,"01620 = ""01620: TB OF URETER-UNSPEC"""
1623,3,"01623 = ""01623: TB OF URETER-MICRO DX"""
1730,3,"01730 = ""01730: TB OF EYE-UNSPEC"""
1809,3,"1809  = ""1809 : MAL NEO CERVIX UTERI NOS"""
1908,3,"1908  = ""1908 : MALIGN NEOPL EYE NEC"""
1943,3,"1943  = ""1943 : MALIG NEO PITUITARY"""
1990,3,"1990  = ""1990 : MALIG NEO DISSEMINATED"""
2760,3,"2760  = ""2760 : HYPEROSMOLALITY"""
2766,3,"2766  = ""2766 : FLUID OVERLOAD"""
2841,3,"2841  = ""2841 : PANCYTOPENIA (Begin 2006)"""
28529,3,"28529 = ""28529: ANEMIA OF OTHER CHRONIC ILLNESS (Begin 2000)"""
2867,3,"2867  = ""2867 : ACQ COAGUL FACTOR DEFIC"""
2900,3,"2900  = ""2900 : SENILE DEMENTIA UNCOMP"""
29634,3,"29634 = ""29634: REC DEPR PSYCH-PSYCHOTIC"""
311,3,"0311  = ""0311 : CUTANEOUS MYCOBACTERIA"""
3310,3,"3310  = ""3310 : ALZHEIMERS DISEASE"""
3313,3,"3313  = ""3313 : COMMUNICAT HYDROCEPHALUS"""
37532,3,"37532 = ""37532: ACUTE DACRYOCYSTITIS"""
3840,3,"03840 = ""03840: GRAM-NEG SEPTICEMIA NOS"""
3844,3,"03844 = ""03844: SERRATIA SEPTICEMIA"""
41011,3,"41011 = ""41011: AMI ANTERIOR WALL- INIT (Begin 1989)"""
4260,3,"4260  = ""4260 : ATRIOVENT BLOCK COMPLETE"""
42781,3,"42781 = ""42781: SINOATRIAL NODE DYSFUNCT"""
43411,3,"43411 = ""43411: CEREB EMBOLISM W/ INFARCTION (Begin 1993)"""
45342,3,"45342 = ""45342: DVT/EMB DISTAL LOWER EXT (Begin 2004)"""
4732,3,"4732  = ""4732 : CHR ETHMOIDAL SINUSITIS"""
48242,3,"48242 = ""48242: METH RES PNEU D/T STAPH (Begin 2008)"""
48289,3,"48289 = ""48289: BACT PNEUMONIA NEC (Begin 1992)"""
485,3,"485   = ""485  : BRONCOPNEUMONIA ORG NOS"""
4871,3,"4871  = ""4871 : FLU W RESP MANIFEST NEC"""
490,3,"0490  = ""0490 : LYMPHOCYTIC CHORIOMENING"""
49122,3,"49122 = ""49122: OBS CHR BRONC W AC BRONC (Begin 2004)"""
5121,3,"5121  = ""5121 : IATROGENIC PNEUMOTHORAX (Begin 1994)"""
5128,3,"5128  = ""5128 : SPONT PNEUMOTHORAX NEC"""
5185,3,"5185  = ""5185 : POST TRAUM PULM INSUFFIC"""
5264,3,"5264  = ""5264 : INFLAMMATION OF JAW"""
53010,3,"53010 = ""53010: ESOPHAGITIS UNSPEC (Begin 1993)"""
53561,3,"53561 = ""53561: DUODENITIS W HMRHG (Begin 1991)"""
5379,3,"05379 = ""05379: H ZOSTER COMPLICATED NEC"""
566,3,"566   = ""566  : ANAL & RECTAL ABSCESS"""
5722,3,"5722  = ""5722 : HEPATIC COMA"""
57420,3,"57420 = ""57420: CHOLELITHIASIS NOS"""
585,3,"585   = ""585  : CHRONIC RENAL FAILURE (End 2005)"""
59010,3,"59010 = ""59010: AC PYELONEPHRITIS NOS"""
5921,3,"05921 = ""05921: TANAPOX (Begin 2008)"""
5960,3,"5960  = ""5960 : BLADDER NECK OBSTRUCTION"""
600,3,"0600  = ""0600 : SYLVATIC YELLOW FEVER"""
64891,3,"64891 = ""64891: OTH CURR COND-DELIVERED"""
68100,3,"68100 = ""68100: CELLULITIS- FINGER NOS"""
6821,3,"6821  = ""6821 : CELLULITIS OF NECK"""
6828,3,"6828  = ""6828 : CELLULITIS- SITE NEC"""
71596,3,"71596 = ""71596: OSTEOARTHROS NOS-L/LEG"""
73018,3,"73018 = ""73018: CHR OSTEOMYELIT NEC"""
78079,3,"78079 = ""78079: OTH MALAISE/FATIGUE (Begin 1998)"""
7812,3,"07812 = ""07812: PLANTAR WART (Begin 2008)"""
78729,3,"78729 = ""78729: DYSPHAGIA NEC (Begin 2007)"""
8026,3,"8026  = ""8026 : FX ORBITAL FLOOR-CLOSED"""
82002,3,#N/A
9950,3,"09950 = ""09950: CHLAMYDIA-UNSPEC SITE (Begin 1992)"""
V584 ,3,#N/A
1179,2,"1179  = ""1179 : MYCOSES NEC & NOS"""
1363,2,"01363 = ""01363: TB ENCEPHALITIS-MICRO DX"""
1403,2,"01403 = ""01403: TB PERITONITIS-MICRO DX"""
1406,2,"01406 = ""01406: TB PERITONITIS-OTH TEST"""
1408,2,"1408  = ""1408 : MAL NEO LIP NEC"""
1420,2,"1420  = ""1420 : MALIG NEO PAROTID"""
1421,2,"1421  = ""1421 : MALIG NEO SUBMANDIBULAR"""
1498,2,"1498  = ""1498 : MAL NEO ORAL/PHARYNX NEC"""
1541,2,"1541  = ""1541 : MALIGNANT NEOPL RECTUM"""
1619,2,"1619  = ""1619 : MALIGNANT NEO LARYNX NOS"""
1622,2,"01622 = ""01622: TB OF URETER-EXAM UNKN"""
1625,2,"01625 = ""01625: TB OF URETER-HISTO DX"""
1628,2,"1628  = ""1628 : MAL NEO BRONCH/LUNG NEC"""
1723,2,"01723 = ""01723: TB PERIPH LYMPH-MICRO DX"""
1732,2,"01732 = ""01732: TB OF EYE-EXAM UNKN"""
1820,2,"1820  = ""1820 : MALIG NEO CORPUS UTERI"""
185,2,"185   = ""185  : MALIGN NEOPL PROSTATE"""
1910,2,"1910  = ""1910 : MALIGN NEOPL CEREBRUM"""
1912,2,"1912  = ""1912 : MAL NEO TEMPORAL LOBE"""
1962,2,"1962  = ""1962 : MAL NEO LYMPH INTRA-ABD"""
1975,2,"1975  = ""1975 : SEC MALIG NEO LG BOWEL"""
1978,2,"1978  = ""1978 : SEC MAL NEO GI NEC"""
1980,2,"1980  = ""1980 : SECOND MALIG NEO KIDNEY"""
20280,2,"20280 = ""20280: LYMPHOMA NEC UNSPEC SITE"""
20283,2,"20283 = ""20283: LYMPHOMAS NEC ABDOM"""
2273,2,"2273  = ""2273 : BENIGN NEO PITUITARY"""
2396,2,"2396  = ""2396 : BRAIN NEOPLASM NOS"""
25002,2,"25002 = ""25002: DIABETES MELL TYPE II UNCONT (Begin 1993)"""
25003,2,"25003 = ""25003: DIABETES MELL TYPE I UNCONT (Begin 1993)"""
25010,2,"25010 = ""25010: DIAB KETOACIDOSIS TYP II"""
25012,2,"25012 = ""25012: DIAB KETOACID TYPE I DM UNCONT (Begin 1993)"""
25082,2,"25082 = ""25082: DIAB W MANIF NEC TYPE II DM UNCONT (Begin 1993)"""
2510,2,"2510  = ""2510 : HYPOGLYCEMIC COMA"""
2512,2,"2512  = ""2512 : HYPOGLYCEMIA NOS"""
2638,2,"2638  = ""2638 : PROTEIN-CAL MALNUTR NEC"""
2865,2,"2865  = ""2865 : CIRCULATING ANTICOAG DIS"""
2874,2,"2874  = ""2874 : SECOND THROMBOCYTOPENIA"""
2903,2,"2903  = ""2903 : SENILE DELIRIUM"""
2910,2,"2910  = ""2910 : DELIRIUM TREMENS"""
29181,2,"29181 = ""29181: ALCOHOL WITHDRAWAL (Begin 1996)"""
2929,2,"2929  = ""2929 : DRUG MENTAL DISORDER NOS"""
2931,2,"2931  = ""2931 : SUBACUTE DELIRIUM"""
2948,2,"2948  = ""2948 : ORGANIC BRAIN SYND NEC"""
29574,2,"29574 = ""29574: SCHIZOAFFECT-CHREXACER"""
2971,2,"2971  = ""2971 : PARANOIA"""
30000,2,"30000 = ""30000: ANXIETY STATE NOS"""
3090,2,"3090  = ""3090 : BRIEF DEPRESSIVE REACT"""
32082,2,"32082 = ""32082: GRAM NEG MENINGITIS NEC (Begin 1992)"""
3238,2,"3238  = ""3238 : ENCEPHALITIS NEC"""
3320,2,"3320  = ""3320 : PARALYSIS AGITANS"""
3332,2,"3332  = ""3332 : MYOCLONUS"""
34690,2,"34690 = ""34690: MIGRAINE NOS-NOT INTR (Begin 1992)"""
3480,2,"3480  = ""3480 : CEREBRAL CYSTS"""
3483,2,"3483  = ""3483 : ENCEPHALOPATHY NOS (End 2003)"""
34839,2,"34839 = ""34839: OTHER ENCEPHALOPATHY (Begin 2003)"""
34982,2,"34982 = ""34982: TOXIC ENCEPHALOPATHY"""
37603,2,"37603 = ""37603: ORBITAL OSTEOMYELITIS"""
37854,2,"37854 = ""37854: SIXTH NERVE PALSY"""
3829,2,"3829  = ""3829 : OTITIS MEDIA NOS"""
38300,2,"38300 = ""38300: AC MASTOIDITIS W/O COMPL"""
38861,2,"38861 = ""38861: CEREBROSP FLUID OTORRHEA"""
4031,2,"4031  = ""4031 : BENIGN HYPERT RENAL DIS (Begin 1980"
41021,2,"41021 = ""41021: AMI INFEROLATERAL- INIT (Begin 1989)"""
41041,2,"41041 = ""41041: AMI INFERIOR WALL- INIT (Begin 1989)"""
41400,2,"41400 = ""41400: CORONARY ATHERO NOS (Begin 1994)"""
4151,2,"4151  = ""4151 : PULMON EMBOLISM/INFARCT (End 1995)"""
4210,2,"4210  = ""4210 : AC/SUBAC BACT ENDOCARD"""
4239,2,"4239  = ""4239 : PERICARDIAL DISEASE NOS"""
42833,2,"42833 = ""42833: ACUTE ON CHRONIC DIASTOLIC HEART FAILR (Begin 2002)"""
430,2,"0430  = ""0430 : HIV CAUS LYMPHADENOPATHY (Begin 1986"
43311,2,"43311 = ""43311: CAROTID ART OCCLUS W/CEREB INFARCT (Begin 1993)"""
43330,2,"43330 = ""43330: MULT PRECEREB OCCLUS W/O INFARCT (Begin 1993)"""
43331,2,"43331 = ""43331: MULT PRECEREB OCCLUS W/ INFARCT (Begin 1993)"""
4340,2,"4340  = ""4340 : CEREBRAL THROMBOSIS (End 1993)"""
4341,2,"4341  = ""4341 : CEREBRAL EMBOLISM (End 1993)"""
4376,2,"4376  = ""4376 : NONPYOGEN THROMBOS SINUS"""
4378,2,"4378  = ""4378 : CEREBROVASC DISEASE NEC"""
43889,2,"43889 = ""43889: OT LATE EFFECTS OF CVD (Begin 1997)"""
44024,2,"44024 = ""44024: ATHEROSCL-EXTREMITY+GANGRENE (Begin 1993)"""
4439,2,"4439  = ""4439 : PERIPH VASCULAR DIS NOS"""
44421,2,"44421 = ""44421: UPPER EXTREMITY EMBOLISM"""
4465,2,"4465  = ""4465 : GIANT CELL ARTERITIS"""
4532,2,"4532  = ""4532 : VENA CAVA THROMBOSIS"""
470,2,"0470  = ""0470 : COXSACKIE VIRUS MENING"""
4731,2,"4731  = ""4731 : CHR FRONTAL SINUSITIS"""
4738,2,"4738  = ""4738 : CHRONIC SINUSITIS NEC"""
4828,2,"4828  = ""4828 : BACTERIAL PNEUMONIA NEC (Begin 1980"
49320,2,"49320 = ""49320: CH OB ASTH W/O STAT ASTH (Begin 1989)"""
5198,2,"5198  = ""5198 : RESP SYSTEM DISEASE NEC"""
5234,2,"5234  = ""5234 : CHRONIC PERIODONTITIS"""
52800,2,"52800 = ""52800: STOMATITIS/MUCOSITIS NOS (Begin 2006)"""
5283,2,"5283  = ""5283 : CELLULITIS/ABSCESS MOUTH"""
53140,2,"53140 = ""53140: CHR STOMACH ULC W HEM"""
53200,2,"53200 = ""53200: AC DUODENAL ULCER W HEM"""
53511,2,"53511 = ""53511: ATRPH GASTRITIS W HMRHG (Begin 1991)"""
53541,2,"53541 = ""53541: OTH SPF GASTRT W HMRHG (Begin 1991)"""
5363,2,"5363  = ""5363 : GASTROPARESIS (Begin 1994)"""
5368,2,"5368  = ""5368 : STOMACH FUNCTION DIS NEC"""
543,2,"0543  = ""0543 : HERPETIC ENCEPHALITIS"""
56089,2,"56089 = ""56089: INTESTINAL OBSTRUCT NEC"""
56212,2,"56212 = ""56212: DVRTCLO COLON W HMRHG (Begin 1991)"""
56409,2,"56409 = ""56409: OTHER CONSTIPATION (Begin 2001)"""
5693,2,"5693  = ""5693 : RECTAL & ANAL HEMORRHAGE"""
5712,2,"5712  = ""5712 : ALCOHOL CIRRHOSIS LIVER"""
5733,2,"5733  = ""5733 : HEPATITIS NOS"""
57400,2,"57400 = ""57400: CHOLELITH W AC CHOLECYST"""
57410,2,"57410 = ""57410: CHOLELITH W CHOLECYS NEC"""
