,x,
5185,65,"5185  = ""5185 : POST TRAUM PULM INSUFFIC"""
41400,64,"41400 = ""41400: CORONARY ATHERO NOS (Begin 1994)"""
4732,63,"4732  = ""4732 : CHR ETHMOIDAL SINUSITIS"""
9971,61,"9971  = ""9971 : SURG COMPL-HEART"""
E8788,61,"E8788 = ""E8788: ABN REACT-SURG PROC NEC"""
1700,60,"1700  = ""1700 : MAL NEO SKULL/FACE BONE"""
3488,60,"3488  = ""3488 : BRAIN CONDITIONS NEC (end 2009)"""
9973,58,"9973  = ""9973 : SURG COMPLIC-RESPIR SYST (end 2008)"""
71590,56,"71590 = ""71590: OSTEOARTHROS NOS-UNSPEC"""
1733,55,"1733  = ""1733 : MAL NEO SKIN FACE NEC"""
1901,54,"1901  = ""1901 : MALIGN NEOPL ORBIT"""
9982,53,"9982  = ""9982 : ACCIDENTAL OP LACERATION"""
37630,52,"37630 = ""37630: EXOPHTHALMOS NOS"""
4140,52,"4140  = ""4140 : CORONARY ATHEROSCLEROSIS (End 1994)"""
9981,51,"9981  = ""9981 : HEMORR COMPLIC PROCEDURE (End 1996)"""
V1022,50,"V1022 = ""V1022: HX-NOSE/EAR/SINUS MALIG"""
V4582,50,"V4582 = ""V4582: PTCA STATUS (Begin 1994)"""
V103 ,49,"V103  = ""V103 : HX OF BREAST MALIGNANCY"""
30000,48,"30000 = ""30000: ANXIETY STATE NOS"""
470,48,"470   = ""470  : DEVIATED NASAL SEPTUM"""
25001,46,"25001 = ""25001: DIABETES UNCOMPL TYPE I"""
99811,46,"99811 = ""99811: HEMORR AS PROC CX (Begin 1996)"""
V1259,46,"V1259 = ""V1259: HX-CIRC DISORDER NEC (Begin 1995)"""
2639,43,"2639  = ""2639 : PROTEIN-CAL MALNUTR NOS"""
4928,43,"4928  = ""4928 : EMPHYSEMA NEC"""
1970,42,"1970  = ""1970 : SECONDARY MALIG NEO LUNG"""
2120,42,"2120  = ""2120 : BEN NEO NASAL CAV/SINUS"""
27800,40,"27800 = ""27800: OBESITY UNSPECIFIED (Begin 1995)"""
4240,40,"4240  = ""4240 : MITRAL VALVE DISORDER"""
3659,38,"3659  = ""3659 : GLAUCOMA NOS"""
7840,38,"7840  = ""7840 : HEADACHE"""
V1046,38,"V1046 = ""V1046: HX-PROSTATIC MALIGNANCY"""
1982,37,"1982  = ""1982 : SECONDARY MALIG NEO SKIN"""
2800,37,"2800  = ""2800 : CHR BLOOD LOSS ANEMIA"""
4011,37,"4011  = ""4011 : BENIGN HYPERTENSION"""
4139,36,"4139  = ""4139 : ANGINA PECTORIS NEC/NOS"""
78039,36,"78039 = ""78039: OT CONVULSIONS (Begin 1997)"""
7872,36,"7872  = ""7872 : DYSPHAGIA (end 2007)"""
2765,35,"2765  = ""2765 : HYPOVOLEMIA (End 2005)"""
73300,35,"73300 = ""73300: OSTEOPOROSIS NOS"""
V1083,35,"V1083 = ""V1083: HX-SKIN MALIGNANCY NEC"""
34981,34,"34981 = ""34981: CEREBROSPINAL RHINORRHEA"""
V1005,34,"V1005 = ""V1005: HX OF COLONIC MALIGNANCY"""
6820,33,"6820  = ""6820 : CELLULITIS OF FACE"""
78820,33,"78820 = ""78820: RETENTION OF URINE UNSPECIFED (Begin 1993)"""
51881,32,"51881 = ""51881: RESPIRATORY FAILURE (Begin 1987)"""
71690,31,"71690 = ""71690: ARTHROPATHY NOS-UNSPEC"""
486,30,"486   = ""486  : PNEUMONIA- ORGANISM NOS"""
1452,29,"1452  = ""1452 : MALIG NEO HARD PALATE"""
4718,29,"4718  = ""4718 : NASAL SINUS POLYP NEC"""
5070,29,"5070  = ""5070 : FOOD/VOMIT PNEUMONITIS-"""
78057,29,"78057 = ""78057: SLEEP APNEA NOS NEC (Begin 1992)"""
V4501,29,"V4501 = ""V4501: CARDIAC PACEM IN SITU (Begin 1994)"""
V4589,29,"V4589 = ""V4589: POSTSURGICAL STATES NEC"""
2318,28,"2318  = ""2318 : CA IN SITU RESP SYS NEC"""
4439,27,"4439  = ""4439 : PERIPH VASCULAR DIS NOS"""
5533,27,"5533  = ""5533 : DIAPHRAGMATIC HERNIA"""
7806,27,"7806  = ""7806 : PYREXIA UNKNOWN ORIGIN (end 2008)"""
9975,27,"9975  = ""9975 : SURG COMPL-URINARY TRACT"""
5939,26,"5939  = ""5939 : RENAL & URETERAL DIS NOS"""
60000,26,"60000 = ""60000: HYPERTROPHY (BENIGN) OF PROSTATE WITHOUT URIN (Begin 2003)"""
2749,25,"2749  = ""2749 : GOUT NOS"""
36960,25,"36960 = ""36960: BLINDNESS- ONE EYE"""
600,25,"600   = ""600  : HYPERPLASIA OF PROSTATE (End 2000)"""
99812,25,"99812 = ""99812: HEMATOMA PROC CX (Begin 1996)"""
V5861,25,"V5861 = ""V5861: LONGTERM USE ANTICOAG (Begin 1995)"""
2536,24,"2536  = ""2536 : NEUROHYPOPHYSIS DIS NEC"""
37854,24,"37854 = ""37854: SIXTH NERVE PALSY"""
49320,24,"49320 = ""49320: CH OB ASTH W/O STAT ASTH (Begin 1989)"""
78701,24,"78701 = ""78701: NAUSEA WITH VOMITING (Begin 1994)"""
9970,24,"9970  = ""9970 : SURG COMPLICATION-CNS (End 1995)"""
3310,22,"3310  = ""3310 : ALZHEIMERS DISEASE"""
3899,22,"3899  = ""3899 : HEARING LOSS NOS"""
V1002,22,"V1002 = ""V1002: HX-ORAL/PHARYNX MALG NEC"""
2752,21,"2752  = ""2752 : DIS MAGNESIUM METABOLISM"""
3004,21,"3004  = ""3004 : NEUROTIC DEPRESSION"""
5849,21,"5849  = ""5849 : ACUTE RENAL FAILURE NOS"""
9983,21,"9983  = ""9983 : POSTOP WOUND DISRUPTION (End 2002)"""
V1082,21,"V1082 = ""V1082: HX-MALIG SKIN MELANOMA"""
2767,20,"2767  = ""2767 : HYPERPOTASSEMIA"""
37601,20,"37601 = ""37601: ORBITAL CELLULITIS"""
7140,20,"7140  = ""7140 : RHEUMATOID ARTHRITIS"""
9988,20,"9988  = ""9988 : SURGICAL COMPLICAT NEC (End 1994)"""
99889,20,"99889 = ""99889: OTHER COMPLIC NEC (Begin 1994)"""
37430,19,"37430 = ""37430: PTOSIS OF EYELID NOS"""
4111,19,"4111  = ""4111 : INTERMED CORONARY SYND"""
42769,19,"42769 = ""42769: PREMATURE BEATS NEC"""
4733,19,"4733  = ""4733 : CHR SPHENOIDAL SINUSITIS"""
47819,19,"47819 = ""47819: NASAL & SINUS DIS NEC (Begin 2006)"""
53390,19,"53390 = ""53390: PEPTIC ULCER NOS"""
79029,19,"79029 = ""79029: OTHER ABNORMAL GLUCOSE (Begin 2003)"""
40290,18,"40290 = ""40290: HYPERTENSIVE HRT DIS NOS"""
5119,18,"5119  = ""5119 : PLEURAL EFFUSION NOS"""
56400,18,"56400 = ""56400: UNSPECIFIED CONSTIPATION (Begin 2001)"""
78702,18,"78702 = ""78702: NAUSEA ALONE (Begin 1994)"""
V1251,18,"V1251 = ""V1251: HX-VEN THROMBOSIS (Begin 1995)"""
1950,17,"1950  = ""1950 : MAL NEO HEAD/FACE/NECK"""
1977,17,"1977  = ""1977 : SECOND MALIG NEO LIVER"""
2809,17,"2809  = ""2809 : IRON DEFIC ANEMIA NOS"""
4610,17,"4610  = ""4610 : AC MAXILLARY SINUSITIS"""
4731,17,"4731  = ""4731 : CHR FRONTAL SINUSITIS"""
9985,17,"9985  = ""9985 : POSTOPERATIVE INFECTION (End 1996)"""
V5869,17,"V5869 = ""V5869: LONGTERM USE OTH MED (Begin 1995)"""
2766,16,"2766  = ""2766 : FLUID OVERLOAD"""
29410,16,"29410 = ""29410: DEMENTIA IN OTH DISEASES W0 BEHAVRAL OCT00-"""
3320,16,"3320  = ""3320 : PARALYSIS AGITANS"""
3485,16,"3485  = ""3485 : CEREBRAL EDEMA"""
417,16,#N/A
4254,16,"4254  = ""4254 : PRIM CARDIOMYOPATHY NEC"""
4264,16,"4264  = ""4264 : RT BUNDLE BRANCH BLOCK"""
7803,16,"7803  = ""7803 : CONVULSIONS (End 1997)"""
99702,16,"99702 = ""99702: POSTOP STROKE (Begin 1995)"""
9974,16,"9974  = ""9974 : SURG COMPLIC-GI TRACT"""
V433 ,16,"V433  = ""V433 : HEART VALVE REPLAC NEC"""
2875,15,"2875  = ""2875 : THROMBOCYTOPENIA NOS"""
2948,15,"2948  = ""2948 : ORGANIC BRAIN SYND NEC"""
30500,15,"30500 = ""30500: ALCOHOL ABUSE-UNSPEC"""
32723,15,"32723 = ""32723: OBSTRUCTIVE SLEEP APNEA (Begin 2005)"""
4241,15,"4241  = ""4241 : AORTIC VALVE DISORDER"""
4292,15,"4292  = ""4292 : ASCVD"""
5997,15,"5997  = ""5997 : HEMATURIA (end 2008)"""
V1021,15,"V1021 = ""V1021: HX-LARYNGEAL MALIGNANCY"""
185,14,"185   = ""185  : MALIGN NEOPL PROSTATE"""
2939,14,"2939  = ""2939 : TRANSIENT ORG MENTAL NOS"""
34590,14,"34590 = ""34590: EPILEP NOS W/O INTR EPIL (Begin 1989)"""
36250,14,"36250 = ""36250: MACULAR DEGENERATION NOS"""
414,14,#N/A
4719,14,"4719  = ""4719 : NASAL POLYP NOS"""
7882,14,"07882 = ""07882: EPIDEMIC VOMITING SYND"""
99859,14,"99859 = ""99859: OTH POSTOP INFECTION (Begin 1996)"""
V140 ,14,"V140  = ""V140 : HX-PENICILLIN ALLERGY"""
1430,13,"1430  = ""1430 : MALIG NEO UPPER GUM"""
1455,13,"1455  = ""1455 : MALIGNANT NEO PALATE NOS"""
2762,13,"2762  = ""2762 : ACIDOSIS"""
2888,13,"2888  = ""2888 : WBC DISEASE NEC"""
30390,13,"30390 = ""30390: ALCOH DEP NECNOS-UNSPEC"""
34690,13,"34690 = ""34690: MIGRAINE NOS-NOT INTR (Begin 1992)"""
37273,13,"37273 = ""37273: CONJUNCTIVAL EDEMA"""
37851,13,"37851 = ""37851: PARTIAL THIRD NERV PALSY"""
4149,13,"4149  = ""4149 : CHR ISCHEMIC HRT DIS NOS"""
4538,13,"4538  = ""4538 : VENOUS THROMBOSIS NEC (end 2009)"""
4589,13,"4589  = ""4589 : HYPOTENSION NOS"""
4710,13,"4710  = ""4710 : POLYP OF NASAL CAVITY"""
5859,13,"5859  = ""5859 : CHRONIC KIDNEY DIS NOS (Begin 2005)"""
7906,13,"7906  = ""7906 : ABN BLOOD CHEMISTRY NEC"""
V440 ,13,#N/A
2769,12,"2769  = ""2769 : ELECTROLYT/FLUID DIS NEC"""
37410,12,"37410 = ""37410: ECTROPION NOS"""
37749,12,"37749 = ""37749: OPTIC NERVE DISORDER NEC"""
51889,12,"51889 = ""51889: OTHER LUNG DISEASE NEC (Begin 1987)"""
7070,12,"7070  = ""7070 : DECUBITUS ULCER (End 2004)"""
7850,12,"7850  = ""7850 : TACHYCARDIA NOS"""
845,12,"0845  = ""0845 : MIXED MALARIA"""
1731,11,"1731  = ""1731 : MALIG NEO SKIN EYELID"""
1907,11,"1907  = ""1907 : MAL NEO LACRIMAL DUCT"""
25002,11,"25002 = ""25002: DIABETES MELL TYPE II UNCONT (Begin 1993)"""
27541,11,"27541 = ""27541: HYPOCALCEMIA (Begin 1997)"""
2760,11,"2760  = ""2760 : HYPEROSMOLALITY"""
28860,11,"28860 = ""28860: LEUKOCYTOSIS NOS (Begin 2006)"""
30501,11,"30501 = ""30501: ALCOHOL ABUSE-CONTINUOUS"""
3669,11,"3669  = ""3669 : CATARACT NOS"""
37230,11,"37230 = ""37230: CONJUNCTIVITIS NOS"""
37739,11,"37739 = ""37739: OPTIC NEURITIS NEC"""
4271,11,"4271  = ""4271 : PAROX VENTRIC TACHYCARD"""
438,11,"438   = ""438  : LATE EFF CEREBROVASC DIS (End 1997)"""
7380,11,"7380  = ""7380 : ACQ NOSE DEFORMITY"""
7823,11,"7823  = ""7823 : EDEMA"""
79431,11,"79431 = ""79431: ABNORM ELECTROCARDIOGRAM"""
7994,11,"7994  = ""7994 : CACHEXIA"""
V1271,11,"V1271 = ""V1271: HX PEPTIC ULCER DX (Begin 1994)"""
V441 ,11,"V441  = ""V441 : GASTROSTOMY STATUS"""
1120,10,"1120  = ""1120 : THRUSH"""
1453,10,"1453  = ""1453 : MALIG NEO SOFT PALATE"""
2535,10,"2535  = ""2535 : DIABETES INSIPIDUS"""
2763,10,"2763  = ""2763 : ALKALOSIS"""
28522,10,"28522 = ""28522: ANEMIA IN NEOPLASTIC DISEASE (Begin 2000)"""
2989,10,"2989  = ""2989 : -PSYCHOSIS NOS-"""
3572,10,"3572  = ""3572 : NEUROPATHY IN DIABETES"""
3688,10,"3688  = ""3688 : VISUAL DISTURBANCES NEC"""
3698,10,"3698  = ""3698 : VISUAL LOSS- ONE EYE NOS"""
40390,10,"40390 = ""40390: HYP REN NOS W/O REN FAIL (Begin 1989)"""
4119,10,#N/A
4148,10,"4148  = ""4148 : CHR ISCHEMIC HRT DIS NEC"""
5210,10,"5210  = ""5210 : DENTAL CARIES (End 2001)"""
5601,10,"5601  = ""5601 : PARALYTIC ILEUS"""
56210,10,"56210 = ""56210: DVRTCLO COLON (W/O HMRHG) (Begin 1980)"""
99679,10,"99679 = ""99679: COMP-INT PROST DEVIC NEC (Begin 1989)"""
E8497,10,"E8497 = ""E8497: ACCID IN RESIDENT INSTIT"""
V142 ,10,#N/A
V148 ,10,#N/A
V4364,10,"V4364 = ""V4364: JOINT REPLACE HIP (Begin 1994)"""
V5866,10,"V5866 = ""V5866: LONG-TERM USE OF ASPIRIN (Begin 2004)"""
1710,9,"1710  = ""1710 : MAL NEO SOFT TISSUE HEAD"""
25060,9,"25060 = ""25060: DIAB NEURO MANIF TYPE II"""
2910,9,"2910  = ""2910 : DELIRIUM TREMENS"""
2930,9,"2930  = ""2930 : ACUTE DELIRIUM"""
3314,9,"3314  = ""3314 : OBSTRUCTIV HYDROCEPHALUS"""
389,9,#N/A
40391,9,"40391 = ""40391: HYP RENAL NOS W REN FAIL (Begin 1989)"""
41071,9,"41071 = ""41071: SUBENDO INFARCT- INITIAL (Begin 1989)"""
42611,9,"42611 = ""42611: ATRIOVENT BLOCK-1ST DEGR"""
4279,9,"4279  = ""4279 : CARDIAC DYSRHYTHMIA NOS"""
43310,9,"43310 = ""43310: CAROTID ART OCCLUS W/O INFARCT (Begin 1993)"""
4409,9,"4409  = ""4409 : ATHEROSCLEROSIS NOS"""
4619,9,"4619  = ""4619 : ACUTE SINUSITIS NOS"""
4779,9,"4779  = ""4779 : ALLERGIC RHINITIS NOS"""
515,9,"515   = ""515  : POSTINFLAM PULM FIBROSIS"""
5239,9,"5239  = ""5239 : GINGIV/PERIODONT DIS NOS"""
5589,9,"5589  = ""5589 : NONINF GASTROENTERIT NEC"""
5989,9,"5989  = ""5989 : URETHRAL STRICTURE NOS"""
78720,9,"78720 = ""78720: DYSPHAGIA NOS (Begin 2007)"""
78791,9,"78791 = ""78791: DIARRHEA (Begin 1995)"""
9972,9,"9972  = ""9972 : SURG COMP-PERI VASC SYST"""
99791,9,"99791 = ""99791: HTN AS COMPLIC (Begin 1995)"""
V1084,9,"V1084 = ""V1084: HX OF EYE MALIGNANCY"""
V4365,9,"V4365 = ""V4365: JOINT REPLACE KNEE (Begin 1994)"""
V5867,9,"V5867 = ""V5867: LONG-TERM USE OF INSULIN (Begin 2004)"""
1478,8,"1478  = ""1478 : MAL NEO NASOPHARYNX NEC"""
2753,8,"2753  = ""2753 : DIS PHOSPHORUS METABOL"""
2780,8,"2780  = ""2780 : OBESITY (End 1995)"""
2848,8,"2848  = ""2848 : APLASTIC ANEMIAS NEC (end 2007)"""
29590,8,"29590 = ""29590: SCHIZOPHRENIA NOS-UNSPEC"""
30503,8,"30503 = ""30503: ALCOHOL ABUSE-IN REMISS-"""
30511,8,"30511 = ""30511: TOBACCO ABUSE-CONTINUOUS"""
3090,8,"3090  = ""3090 : BRIEF DEPRESSIVE REACT"""
3229,8,"3229  = ""3229 : MENINGITIS NOS"""
3240,8,"3240  = ""3240 : INTRACRANIAL ABSCESS"""
36900,8,"36900 = ""36900: BOTH EYES BLIND-WHO DEF"""
3699,8,"3699  = ""3699 : VISUAL LOSS NOS"""
37556,8,"37556 = ""37556: ACQ NASOLACRML STENOSIS"""
4185,8,#N/A
4263,8,"4263  = ""4263 : LEFT BB BLOCK NEC"""
4275,8,"4275  = ""4275 : CARDIAC ARREST"""
45829,8,"45829 = ""45829: OTHER IATROGENIC HYPOTENSION (Begin 2003)"""
4611,8,"4611  = ""4611 : AC FRONTAL SINUSITIS"""
52100,8,"52100 = ""52100: UNSPECIFIED DENTAL CARIES (Begin 2001)"""
6961,8,"6961  = ""6961 : OTHER PSORIASIS"""
7242,8,"7242  = ""7242 : LUMBAGO"""
78009,8,"78009 = ""78009: STUPOR (Begin 1992)"""
7842,8,"7842  = ""7842 : SWELLING IN HEAD & NECK"""
7852,8,"7852  = ""7852 : CARDIAC MURMURS NEC"""
7856,8,"7856  = ""7856 : ENLARGEMENT LYMPH NODES"""
78609,8,"78609 = ""78609: RESPIRATORY ABNORM NEC"""
78650,8,"78650 = ""78650: CHEST PAIN NOS"""
7907,8,"7907  = ""7907 : BACTEREMIA NOS"""
79902,8,"79902 = ""79902: HYPOXEMIA (Begin 2005)"""
99652,8,"99652 = ""99652: OTH TISSUE GRAFT MALFUNC (Begin 1987)"""
E8786,8,"E8786 = ""E8786: ABN REAC-ORGAN REM NEC"""
V1051,8,"V1051 = ""V1051: HX OF BLADDER MALIGNANCY"""
V113 ,8,#N/A
V168 ,8,#N/A
1479,7,"1479  = ""1479 : MAL NEO NASOPHARYNX NOS"""
20410,7,"20410 = ""20410: CHR LYM LEUK W/O RMSION (Begin 1991)"""
2440,7,"2440  = ""2440 : POSTSURGICAL HYPOTHYROID"""
2518,7,"2518  = ""2518 : PANCREATIC DISORDER NEC"""
2532,7,"2532  = ""2532 : PANHYPOPITUITARISM"""
2754,7,"2754  = ""2754 : DIS CALCIUM METABOLISM (End 1997)"""
27801,7,"27801 = ""27801: MORBID OBESITY (Begin 1995)"""
28529,7,"28529 = ""28529: ANEMIA OF OTHER CHRONIC ILLNESS (Begin 2000)"""
30391,7,"30391 = ""30391: ALCOH DEP NECNOS-CONTIN"""
32082,7,"32082 = ""32082: GRAM NEG MENINGITIS NEC (Begin 1992)"""
3510,7,"3510  = ""3510 : BELL-s PALSY"""
3526,7,"3526  = ""3526 : MULT CRANIAL NERVE PALSY"""
3970,7,"3970  = ""3970 : TRICUSPID VALVE DISEASE"""
411,7,"0411 = ""0411: CLOS PERIPH NERVE BIOPSY"""
4582,7,"4582  = ""4582 : IATROGENIC HYPOTENSION (Begin 1995"
45981,7,"45981 = ""45981: VENOUS INSUFFICIENCY NOS"""
4720,7,"4720  = ""4720 : CHRONIC RHINITIS"""
4780,7,"4780  = ""4780 : HYPERTRPH NASAL TURBINAT"""
5845,7,"5845  = ""5845 : LOWER NEPHRON NEPHROSIS"""
6000,7,"6000  = ""6000 : HYPERTROPHY (BENIGN) OF PROSTATE (Begin 2000"
73819,7,"73819 = ""73819: OTH ACQ HEAD DEFORM (Begin 1992)"""
7802,7,"7802  = ""7802 : SYNCOPE AND COLLAPSE"""
7804,7,"7804  = ""7804 : DIZZINESS AND GIDDINESS"""
7812,7,"07812 = ""07812: PLANTAR WART (Begin 2008)"""
78829,7,"78829 = ""78829: OTH SPEC RETENTION OF URINE (Begin 1993)"""
78830,7,"78830 = ""78830: URINARY INCONTIN NOS (Begin 1992)"""
99701,7,"99701 = ""99701: CNS CX (Begin 1995)"""
E9320,7,"E9320 = ""E9320: ADV EFF CORTICOSTEROIDS"""
V1011,7,"V1011 = ""V1011: HX-BRONCHOGENIC MALIGNAN"""
V1041,7,"V1041 = ""V1041: HX-CERVICAL MALIGNANCY"""
V1079,7,"V1079 = ""V1079: HX-LYMPHATIC MALIGN NEC"""
V145 ,7,#N/A
V160 ,7,#N/A
V443 ,7,#N/A
V641 ,7,#N/A
135,6,"135   = ""135  : SARCOIDOSIS"""
1919,6,"1919  = ""1919 : MALIG NEO BRAIN NOS"""
24200,6,"24200 = ""24200: TOX DIF GOITER NO CRISIS"""
2764,6,"2764  = ""2764 : MIXED ACID-BASE BAL DIS"""
27651,6,"27651 = ""27651: DEHYDRATION (Begin 2005)"""
2869,6,"2869  = ""2869 : COAGULAT DEFECT NEC/NOS"""
29181,6,"29181 = ""29181: ALCOHOL WITHDRAWAL (Begin 1996)"""
3079,6,"3079  = ""3079 : SPECIAL SYMPTOM NECNOS"""
3331,6,"3331  = ""3331 : TREMOR NEC"""
3569,6,"3569  = ""3569 : IDIO PERIPH NEURPTHY NOS"""
37520,6,"37520 = ""37520: EPIPHORA NOS"""
37633,6,"37633 = ""37633: ORBITAL EDEMA"""
413,6,#N/A
41511,6,"41511 = ""41511: IATROGENIC PULM EMBOL INFARCT (Begin 1995)"""
41519,6,"41519 = ""41519: OTHER PULMON EMBOL INFARCT (Begin 1995)"""
4270,6,"4270  = ""4270 : PAROX ATRIAL TACHYCARDIA"""
42732,6,"42732 = ""42732: ATRIAL FLUTTER"""
42761,6,"42761 = ""42761: ATRIAL PREMATURE BEATS"""
4293,6,"4293  = ""4293 : CARDIOMEGALY"""
4612,6,"4612  = ""4612 : AC ETHMOIDAL SINUSITIS"""
49120,6,"49120 = ""49120: OBS CHR BRNC W/O ACT EXA (Begin 1991)"""
49121,6,"49121 = ""49121: OBS CHR BRNC W ACT EXA (Begin 1991)"""
5289,6,"5289  = ""5289 : ORAL SOFT TISSUE DIS NEC"""
53550,6,"53550 = ""53550: GSTR/DDNTS NOS W/O HMRHG (Begin 1991)"""
5641,6,"5641  = ""5641 : IRRITABLE COLON"""
5789,6,"5789  = ""5789 : GASTROINTEST HEMORR NOS"""
585,6,"585   = ""585  : CHRONIC RENAL FAILURE (End 2005)"""
5960,6,"5960  = ""5960 : BLADDER NECK OBSTRUCTION"""
7210,6,"7210  = ""7210 : CERVICAL SPONDYLOSIS"""
9979,6,"9979  = ""9979 : SURG COMPL-BODY SYST NEC (End 1995)"""
V1001,6,"V1001 = ""V1001: HX OF TONGUE MALIGNANCY"""
V1043,6,"V1043 = ""V1043: HX OF OVARIAN MALIGNANCY"""
V163 ,6,#N/A
V450 ,6,#N/A
1400,5,"1400  = ""1400 : MAL NEO UPPER VERMILION"""
1458,5,"1458  = ""1458 : MALIG NEOPLASM MOUTH NEC"""
1471,5,"1471  = ""1471 : MAL NEO POST NASOPHARYNX"""
1723,5,"1723  = ""1723 : MAL MELANOM FACE NEC/NOS"""
25090,5,"25090 = ""25090: DIAB W COMPL NOS TYPE II"""
2630,5,"2630  = ""2630 : MALNUTRITION MOD DEGREE"""
2819,5,"2819  = ""2819 : DEFICIENCY ANEMIA NOS"""
2900,5,"2900  = ""2900 : SENILE DEMENTIA UNCOMP"""
33829,5,"33829 = ""33829: CHRONIC PAIN NEC (Begin 2006)"""
34290,5,"34290 = ""34290: UNSPEC HEMIPLEGIA- UNSPEC SIDE (Begin 1994)"""
3484,5,"3484  = ""3484 : COMPRESSION OF BRAIN"""
34931,5,"34931 = ""34931: ACCID PUNC/OP LAC DURA (Begin 2008)"""
3501,5,"3501  = ""3501 : TRIGEMINAL NEURALGIA"""
37300,5,"37300 = ""37300: BLEPHARITIS NOS"""
381,5,#N/A
3814,5,"3814  = ""3814 : NONSUPP OTITIS MEDIA NOS"""
4168,5,"4168  = ""4168 : CHR PULMON HEART DIS NEC"""
42781,5,"42781 = ""42781: SINOATRIAL NODE DYSFUNCT"""
43820,5,"43820 = ""43820: LATE EFF CVD HEMIPLEG NOS (Begin 1997)"""
4414,5,"4414  = ""4414 : ABDOM AORTIC ANEURYSM"""
4659,5,"4659  = ""4659 : ACUTE URI NOS"""
4820,5,"4820  = ""4820 : K. PNEUMONIAE PNEUMONIA"""
4821,5,"4821  = ""4821 : PSEUDOMONAL PNEUMONIA"""
4919,5,"4919  = ""4919 : CHRONIC BRONCHITIS NOS"""
51882,5,"51882 = ""51882: OTHER PULMONARY INSUFF (Begin 1987)"""
5264,5,"5264  = ""5264 : INFLAMMATION OF JAW"""
5280,5,"5280  = ""5280 : STOMATITIS"""
52800,5,"52800 = ""52800: STOMATITIS/MUCOSITIS NOS (Begin 2006)"""
5640,5,"5640  = ""5640 : CONSTIPATION (End 2001)"""
591,5,"591   = ""591  : HYDRONEPHROSIS"""
60001,5,"60001 = ""60001: HYPERTROPHY (BENIGN) OF PROSTATE WITH URINARY (Begin 2003)"""
7062,5,"7062  = ""7062 : SEBACEOUS CYST"""
71589,5,"71589 = ""71589: OSTEOARTHROSIS-MULT SITE"""
73028,5,"73028 = ""73028: OSTEOMYELIT NOS-OTH SITE"""
